Election date,Poll ID,State,Pollster,Sponsors,Poll start date,Poll end date,Source,Partisan,Method,Population type,Observations,Democratic,Republican,Other,Undecided
2008-11-04,20080035,AL,Rasmussen,,,2008-06-26,,NonPartisan,IVR,Likely.Voters,500,36,51,7,5
2008-11-04,20080036,AL,SurveyUSA,,,2008-02-28,,NonPartisan,IVR,Registered.Voters,604,40,54,0,6
2008-11-04,20080037,AL,SurveyUSA,,,2008-01-17,,NonPartisan,IVR,Registered.Voters,537,29,63,0,8
2008-11-04,20080038,AL,UnivSouthAlabama,PressRegister,,2008-09-16,,NonPartisan,Phone,Likely.Voters,406,25,52,0,23
2008-11-04,20080039,AL,SurveyUSA,,,2007-11-11,,NonPartisan,IVR,Registered.Voters,532,35,56,0,9
2008-11-04,20080040,AL,SurveyUSA,,,2008-04-13,,NonPartisan,IVR,Registered.Voters,540,32,64,0,4
2008-11-04,20080041,AL,SurveyUSA,,,2008-09-17,,NonPartisan,IVR,General.Population,655,34,64,0,2
2008-11-04,20080042,AL,SurveyUSA,,,2008-05-18,,NonPartisan,IVR,Registered.Voters,600,34,57,0,9
2008-11-04,20080043,AL,SurveyUSA,,,2008-10-28,,NonPartisan,IVR,Likely.Voters,650,36,61,0,3
2008-11-04,20080044,AL,CapitalSRC,,,2008-08-04,,NonPartisan,Phone,Likely.Voters,571,34,47,3,16
2008-11-04,20080045,AL,UnivSouthAlabama,PressRegister,,2008-02-14,,NonPartisan,Phone,Likely.Voters,421,31,59,4,6
2008-11-04,20080048,AL,ARG,,,2008-09-16,,NonPartisan,Phone,Likely.Voters,600,36,58,1,5
2008-11-04,20080049,AL,CapitalSRC,,,2008-04-24,,NonPartisan,Phone,Likely.Voters,887,36,55,0,9
2008-11-04,20080050,AL,CapitalSRC,,,2008-10-21,,NonPartisan,Phone,Likely.Voters,606,34,54,0,0
2008-11-04,20080051,AL,CapitalSRC,,,2008-10-07,,NonPartisan,Phone,Likely.Voters,554,35,55,1,9
2008-11-04,20080052,AL,CapitalSRC,,,2008-06-02,,NonPartisan,Phone,Likely.Voters,607,33,57,0,9
2008-11-04,20080053,AL,CapitalSRC,,,2008-06-26,,NonPartisan,Phone,Likely.Voters,536,36,49,0,15
2008-11-04,20080054,AL,SurveyUSA,,,2008-03-16,,NonPartisan,IVR,Registered.Voters,544,35,62,0,4
2008-11-04,20080055,AL,Rasmussen,,,2008-09-22,,NonPartisan,IVR,Likely.Voters,500,39,60,0,2
2008-11-04,20080056,AL,Zogby,,,2008-06-30,,NonPartisan,Internet,Likely.Voters,481,36,47,9,7
2008-11-04,20080057,AL,SurveyUSA,,,2008-10-09,,NonPartisan,IVR,Likely.Voters,697,35,62,0,1
2008-11-04,20080058,AL,Rasmussen,,,2008-04-02,,NonPartisan,IVR,Likely.Voters,500,37,55,6,3
2008-11-04,20080059,AR,ARG,,,2008-10-31,,NonPartisan,Phone,Likely.Voters,600,44,51,1,3
2008-11-04,20080060,AR,Rasmussen,,,2008-10-27,,NonPartisan,IVR,Likely.Voters,500,44,54,1,1
2008-11-04,20080061,AR,Rasmussen,,,2008-05-12,,NonPartisan,IVR,Likely.Voters,500,33,57,6,3
2008-11-04,20080062,AR,SurveyUSA,,,2008-02-28,,NonPartisan,IVR,Registered.Voters,586,33,53,0,14
2008-11-04,20080063,AR,Rasmussen,,,2008-09-22,,NonPartisan,IVR,Likely.Voters,500,42,51,3,4
2008-11-04,20080064,AR,YouGov,,,2008-11-01,,NonPartisan,Internet,Registered.Voters,491,41,53,2,4
2008-11-04,20080065,AR,Rasmussen,,,2008-03-18,,NonPartisan,IVR,Likely.Voters,500,30,59,6,4
2008-11-04,20080066,AR,Rasmussen,,,2008-06-12,,NonPartisan,IVR,Likely.Voters,500,39,48,8,5
2008-11-04,20080067,AR,Zogby,,,2008-06-30,,NonPartisan,Internet,Likely.Voters,461,41,39,13,8
2008-11-04,20080068,AR,Research2000,DailyKos,,2008-10-22,,Partisan,Phone,Likely.Voters,600,41,52,2,5
2008-11-04,20080069,AR,UnivArkansas,,,2008-10-21,,NonPartisan,Phone,Registered.Voters,1628,36,51,0,14
2008-11-04,20080070,AR,UnivCentralArkansas,,,2008-03-11,,NonPartisan,Phone,Registered.Voters,500,27,43,4,26
2008-11-04,20080071,AR,Rasmussen,,,2008-07-15,,NonPartisan,IVR,Likely.Voters,500,39,52,1,7
2008-11-04,20080072,AR,ARG,,,2008-09-22,,NonPartisan,Phone,Likely.Voters,600,41,53,0,5
2008-11-04,20080073,AZ,ARG,,,2008-10-30,,NonPartisan,Phone,Likely.Voters,600,46,50,1,3
2008-11-04,20080074,AZ,Zogby,,,2008-06-30,,NonPartisan,Internet,Likely.Voters,1142,42,39,14,5
2008-11-04,20080075,AZ,SurveyUSA,,,2008-02-28,,NonPartisan,IVR,Registered.Voters,619,39,51,0,10
2008-11-04,20080076,AZ,Rasmussen,,,2008-07-30,,NonPartisan,IVR,Likely.Voters,500,38,57,2,3
2008-11-04,20080077,AZ,Rasmussen,,,2008-10-26,,NonPartisan,IVR,Likely.Voters,500,46,51,1,2
2008-11-04,20080078,AZ,Research2000,DailyKos,,2008-10-30,,Partisan,Phone,Likely.Voters,600,47,48,3,2
2008-11-04,20080079,AZ,ASU,Cronkite8,,2008-04-27,,NonPartisan,Phone,Registered.Voters,577,38,47,0,15
2008-11-04,20080080,AZ,PPP,,,2008-07-31,,Partisan,IVR,Likely.Voters,1000,40,52,0,8
2008-11-04,20080081,AZ,CNN,Time,,2008-10-28,,NonPartisan,Phone,Likely.Voters,807,46,53,0,2
2008-11-04,20080082,AZ,YouGov,,,2008-11-01,,NonPartisan,Internet,Registered.Voters,682,46,50,3,0
2008-11-04,20080083,AZ,ASU,Cronkite8,,2008-06-21,,NonPartisan,Phone,Registered.Voters,175,28,38,0,34
2008-11-04,20080084,AZ,Myers,Grove,,2008-10-24,,Partisan,Phone,Likely.Voters,600,44,48,5,3
2008-11-04,20080085,AZ,Rasmussen,,,2008-09-29,,NonPartisan,IVR,Likely.Voters,500,38,59,1,2
2008-11-04,20080086,AZ,ASU,Cronkite8,,2008-10-26,,NonPartisan,Phone,Registered.Voters,1019,44,46,0,9
2008-11-04,20080087,AZ,ASU,Cronkite8,,2008-09-28,,NonPartisan,Phone,Registered.Voters,976,38,45,1,15
2008-11-04,20080088,AZ,NorthernArizonaUniv,,,2007-04-19,,NonPartisan,Phone,Registered.Voters,493,39,54,0,7
2008-11-04,20080089,AZ,Zimmerman,MarketingIntelligence,,2008-10-19,,NonPartisan,Phone,Likely.Voters,408,42,44,4,10
2008-11-04,20080090,AZ,ASU,Cronkite8,,2007-08-26,,NonPartisan,Phone,Registered.Voters,738,34,48,0,18
2008-11-04,20080091,AZ,MasonDixon,NBC,,2008-10-28,,NonPartisan,Phone,Likely.Voters,625,44,48,0,6
2008-11-04,20080092,AZ,BehaviorResearchCenter,,,2007-05-29,,NonPartisan,Phone,Registered.Voters,628,37,51,0,12
2008-11-04,20080093,AZ,BehaviorResearchCenter,,,2007-01-22,,NonPartisan,Phone,Registered.Voters,629,33,56,0,11
2008-11-04,20080094,AZ,ASU,Cronkite8,,2008-02-24,,NonPartisan,Phone,Registered.Voters,552,38,49,0,13
2008-11-04,20080095,AZ,MasonDixon,,,2008-08-15,,NonPartisan,Phone,Likely.Voters,400,41,47,0,12
2008-11-04,20080096,AZ,ARG,,,2008-09-14,,NonPartisan,Phone,Likely.Voters,600,39,56,1,3
2008-11-04,20080097,AZ,Rasmussen,,,2007-10-03,,NonPartisan,IVR,Likely.Voters,500,36,50,10,5
2008-11-04,20080098,AZ,ASU,Cronkite8,,2008-08-16,,NonPartisan,Phone,Registered.Voters,402,30,40,2,28
2008-11-04,20080099,AZ,Rasmussen,,,2007-11-28,,NonPartisan,IVR,Likely.Voters,500,33,55,10,2
2008-11-04,20080100,AZ,NorthernArizonaUniv,,,2008-04-08,,NonPartisan,Phone,Likely.Voters,369,33,55,0,12
2008-11-04,20080101,AZ,Rasmussen,,,2008-04-15,,NonPartisan,IVR,Likely.Voters,500,37,57,4,2
2008-11-04,20080102,AZ,NorthernArizonaUniv,,,2008-10-27,,NonPartisan,Phone,Registered.Voters,600,41,49,0,8
2008-11-04,20080103,AZ,BehaviorResearchCenter,,,2007-03-21,,NonPartisan,Phone,Registered.Voters,600,32,57,0,11
2008-11-04,20080104,AZ,BehaviorResearchCenter,,,2008-05-20,,NonPartisan,Phone,Registered.Voters,630,39,50,0,11
2008-11-04,20080105,AZ,Rasmussen,,,2008-06-25,,NonPartisan,IVR,Likely.Voters,500,40,49,6,5
2008-11-04,20080106,CA,Rasmussen,,,2008-10-09,,NonPartisan,IVR,Likely.Voters,500,56,40,1,3
2008-11-04,20080107,CA,SurveyUSA,,,2008-10-31,,NonPartisan,IVR,Likely.Voters,637,60,36,2,2
2008-11-04,20080108,CA,Rasmussen,,,2008-05-20,,NonPartisan,IVR,Likely.Voters,500,52,38,7,2
2008-11-04,20080109,CA,SurveyUSA,,,2008-10-16,,NonPartisan,IVR,Likely.Voters,615,59,35,3,3
2008-11-04,20080110,CA,Rasmussen,,,2008-04-16,,NonPartisan,IVR,Likely.Voters,500,50,43,4,3
2008-11-04,20080111,CA,SurveyUSA,,,2008-02-28,,NonPartisan,IVR,Registered.Voters,593,51,40,0,9
2008-11-04,20080112,CA,PPIC,,,2008-08-19,,NonPartisan,Phone,Likely.Voters,1047,48,39,3,10
2008-11-04,20080113,CA,PPIC,,,2008-07-22,,NonPartisan,Phone,Likely.Voters,1401,50,35,2,13
2008-11-04,20080114,CA,SurveyUSA,,,2008-06-19,,NonPartisan,IVR,Likely.Voters,503,53,41,0,6
2008-11-04,20080115,CA,ARG,,,2008-09-20,,NonPartisan,Phone,Likely.Voters,600,53,39,2,6
2008-11-04,20080116,CA,Field,,,2008-02-01,,NonPartisan,Phone,Likely.Voters,569,47,40,0,13
2008-11-04,20080117,CA,PPIC,,,2008-05-18,,NonPartisan,Phone,Likely.Voters,1086,54,37,2,7
2008-11-04,20080118,CA,PPIC,,,2008-09-16,,NonPartisan,Phone,Likely.Voters,1157,50,40,3,7
2008-11-04,20080119,CA,SurveyUSA,,,2008-04-13,,NonPartisan,IVR,Registered.Voters,503,50,43,0,8
2008-11-04,20080120,CA,LATimes,Bloomberg,,2008-05-21,,NonPartisan,Phone,Registered.Voters,705,47,40,0,13
2008-11-04,20080121,CA,SurveyUSA,,,2008-01-21,,NonPartisan,IVR,Registered.Voters,519,50,44,0,6
2008-11-04,20080122,CA,SurveyUSA,,,2007-12-15,,NonPartisan,IVR,Registered.Voters,512,52,39,0,8
2008-11-04,20080124,CA,YouGov,,,2008-11-01,,NonPartisan,Internet,Registered.Voters,999,55,40,4,1
2008-11-04,20080125,CA,Zogby,,,2008-06-30,,NonPartisan,Internet,Likely.Voters,4557,52,32,11,6
2008-11-04,20080126,CA,Rasmussen,,,2008-10-25,,NonPartisan,IVR,Likely.Voters,500,61,34,3,2
2008-11-04,20080127,CA,PPIC,,,2008-10-19,,NonPartisan,Phone,Likely.Voters,1186,56,33,2,9
2008-11-04,20080129,CA,SurveyUSA,,,2008-03-16,,NonPartisan,IVR,Registered.Voters,489,54,40,0,6
2008-11-04,20080130,CA,SurveyUSA,,,2007-11-11,,NonPartisan,IVR,Registered.Voters,502,52,39,0,9
2008-11-04,20080131,CA,SurveyUSA,,,2008-02-17,,NonPartisan,IVR,Registered.Voters,512,61,34,0,6
2008-11-04,20080132,CA,SurveyUSA,,,2008-05-18,,NonPartisan,IVR,Likely.Voters,600,49,41,0,10
2008-11-04,20080134,CA,PPIC,,,2008-03-18,,NonPartisan,Phone,Likely.Voters,1077,49,40,4,7
2008-11-04,20080135,CA,Rasmussen,,,2008-06-23,,NonPartisan,IVR,Likely.Voters,500,58,30,5,7
2008-11-04,20080136,CA,SurveyUSA,,,2008-09-24,,NonPartisan,IVR,Likely.Voters,661,53,43,3,1
2008-11-04,20080137,CA,Field,,,2008-10-28,,NonPartisan,Phone,Likely.Voters,966,55,33,4,8
2008-11-04,20080138,CA,Field,,,2008-09-14,,NonPartisan,Phone,Likely.Voters,830,52,36,3,9
2008-11-04,20080139,CA,Field,,,2008-07-14,,NonPartisan,Phone,Likely.Voters,672,54,30,4,12
2008-11-04,20080140,CA,Field,,,2007-08-12,,NonPartisan,Phone,Likely.Voters,433,49,36,0,15
2008-11-04,20080141,CA,Field,,,2007-03-31,,NonPartisan,Phone,Likely.Voters,400,51,39,0,10
2008-11-04,20080142,CA,Rasmussen,,,2008-03-15,,NonPartisan,IVR,Likely.Voters,500,53,38,6,3
2008-11-04,20080143,CA,Rasmussen,,,2008-07-24,,NonPartisan,IVR,Likely.Voters,500,52,42,2,3
2008-11-04,20080144,CA,SurveyUSA,,,2008-10-05,,NonPartisan,IVR,Likely.Voters,670,55,39,4,2
2008-11-04,20080145,CA,Field,,,2008-05-27,,NonPartisan,Phone,Likely.Voters,914,52,35,5,8
2008-11-04,20080146,CA,Field,,,2007-10-21,,NonPartisan,Phone,Likely.Voters,464,50,33,0,17
2008-11-04,20080147,CA,Rasmussen,,,2008-08-20,,NonPartisan,IVR,Likely.Voters,500,54,41,2,3
2008-11-04,20080148,CA,Field,,,2007-12-17,,NonPartisan,Phone,Likely.Voters,524,50,36,0,14
2008-11-04,20080149,CO,PPP,,,2008-09-21,,Partisan,IVR,Likely.Voters,1084,51,44,0,5
2008-11-04,20080150,CO,Rasmussen,,,2008-02-11,,NonPartisan,IVR,Likely.Voters,500,46,39,9,6
2008-11-04,20080151,CO,Targetpoint,NewLeadership,,2008-04-07,,Partisan,Phone,Likely.Voters,604,39,51,0,10
2008-11-04,20080152,CO,Tarrance,,,2008-09-03,,Partisan,Phone,Likely.Voters,495,45,47,0,0
2008-11-04,20080153,CO,RockyMountainNews,News4,,2008-08-13,,NonPartisan,Phone,Likely.Voters,500,41,44,7,8
2008-11-04,20080154,CO,PPP,,,2008-10-30,,Partisan,IVR,Likely.Voters,2023,54,44,0,2
2008-11-04,20080155,CO,Rasmussen,Fox,,2008-09-14,,NonPartisan,IVR,Likely.Voters,500,46,48,4,2
2008-11-04,20080156,CO,InsiderAdvantage,,,2008-10-20,,NonPartisan,IVR,Likely.Voters,576,51,46,1,2
2008-11-04,20080157,CO,QuinnipiacUniv,WSJ | NYPost,,2008-09-21,,NonPartisan,Phone,Likely.Voters,1418,49,45,1,5
2008-11-04,20080158,CO,YouGov,,,2008-11-01,,NonPartisan,Internet,Registered.Voters,685,55,40,2,2
2008-11-04,20080159,CO,MasonDixon,,,2008-08-15,,NonPartisan,Phone,Likely.Voters,400,46,43,0,11
2008-11-04,20080160,CO,PPP,,,2008-08-07,,Partisan,IVR,Likely.Voters,933,48,44,0,7
2008-11-04,20080161,CO,ARG,,,2008-09-25,,NonPartisan,Phone,Likely.Voters,600,45,48,3,4
2008-11-04,20080162,CO,InsiderAdvantage,,,2008-09-23,,NonPartisan,IVR,Likely.Voters,505,50,41,3,6
2008-11-04,20080163,CO,CNN,Time,,2008-09-23,,NonPartisan,Phone,Likely.Voters,794,51,47,0,2
2008-11-04,20080164,CO,SuffolkUniv,,,2008-08-24,,NonPartisan,Phone,Likely.Voters,450,44,39,4,12
2008-11-04,20080165,CO,NationalJournal,Allstate,,2008-09-15,,NonPartisan,Phone,Registered.Voters,402,45,44,0,9
2008-11-04,20080166,CO,Rasmussen,Fox,,2008-09-28,,NonPartisan,IVR,Likely.Voters,500,49,48,1,2
2008-11-04,20080167,CO,SuffolkUniv,,,2008-10-13,,NonPartisan,Phone,Likely.Voters,450,47,43,3,7
2008-11-04,20080168,CO,QuinnipiacUniv,WSJ | NYPost,,2008-07-22,,NonPartisan,Phone,Likely.Voters,1425,44,46,3,7
2008-11-04,20080169,CO,MaristCollege,,,2008-10-28,,NonPartisan,Phone,Likely.Voters,682,51,45,2,2
2008-11-04,20080170,CO,Zogby,,,2008-08-19,,NonPartisan,Internet,Likely.Voters,717,44,38,10,8
2008-11-04,20080171,CO,InsiderAdvantage,,,2008-09-17,,NonPartisan,IVR,Likely.Voters,508,51,41,2,6
2008-11-04,20080172,CO,Zogby,,,2008-09-12,,NonPartisan,Internet,Likely.Voters,825,46,48,0,7
2008-11-04,20080173,CO,RockyMountainNews,News4,,2008-10-23,,NonPartisan,Phone,Likely.Voters,500,52,40,4,2
2008-11-04,20080174,CO,PPP,,,2008-10-10,,Partisan,IVR,Likely.Voters,1331,52,42,0,6
2008-11-04,20080175,CO,Hill,,,2008-08-24,,Partisan,Phone,Likely.Voters,553,43,40,0,0
2008-11-04,20080176,CO,QuinnipiacUniv,WSJ | NYPost,,2008-10-12,,NonPartisan,Phone,Likely.Voters,1088,52,43,1,5
2008-11-04,20080177,CO,CNN,Time,,2008-08-26,,NonPartisan,Phone,Registered.Voters,670,46,47,1,6
2008-11-04,20080178,CO,Rasmussen,,,2008-05-19,,NonPartisan,IVR,Likely.Voters,500,48,42,5,5
2008-11-04,20080179,CO,Frecerick,,,2008-07-22,,Partisan,Phone,Likely.Voters,700,45,41,0,14
2008-11-04,20080180,CO,MasonDixon,,,2008-10-01,,NonPartisan,Phone,Likely.Voters,625,44,44,0,12
2008-11-04,20080181,CO,Zogby,,,2008-10-20,,NonPartisan,Internet,Likely.Voters,951,48,48,0,4
2008-11-04,20080182,CO,ARG,,,2008-09-13,,NonPartisan,Phone,Likely.Voters,600,44,46,3,7
2008-11-04,20080183,CO,Gfk,AP,,2008-10-26,,NonPartisan,Phone,Likely.Voters,626,50,41,4,5
2008-11-04,20080184,CO,SurveyUSA,,,2008-02-28,,NonPartisan,IVR,Registered.Voters,631,50,41,0,9
2008-11-04,20080185,CO,MasonDixon,,,2008-10-29,,NonPartisan,Phone,Likely.Voters,625,49,44,0,0
2008-11-04,20080186,CO,Ciruli,,,2008-09-23,,NonPartisan,Phone,Likely.Voters,501,44,43,3,10
2008-11-04,20080187,CO,Rasmussen,Fox,,2008-10-19,,NonPartisan,IVR,Likely.Voters,1000,51,46,0,3
2008-11-04,20080188,CO,Rasmussen,Fox,,2008-10-05,,NonPartisan,IVR,Likely.Voters,1000,51,45,3,2
2008-11-04,20080189,CO,Zogby,,,2008-06-30,,NonPartisan,Internet,Likely.Voters,780,40,38,14,8
2008-11-04,20080190,CO,ARG,,,2008-10-30,,NonPartisan,Phone,Likely.Voters,600,52,45,0,4
2008-11-04,20080191,CO,NationalJournal,Allstate,,2008-10-27,,NonPartisan,Phone,Registered.Voters,409,48,44,0,3
2008-11-04,20080192,CO,Rasmussen,Fox,,2008-10-26,,NonPartisan,IVR,Likely.Voters,1000,50,46,1,2
2008-11-04,20080193,CO,Rasmussen,,,2008-06-17,,NonPartisan,IVR,Likely.Voters,500,43,41,8,7
2008-11-04,20080194,CO,PPP,,,2008-09-09,,Partisan,IVR,Likely.Voters,1078,47,46,0,7
2008-11-04,20080195,CO,Rasmussen,Fox,,2008-11-02,,NonPartisan,IVR,Likely.Voters,1000,51,47,1,1
2008-11-04,20080196,CO,CNN,Time,,2008-10-28,,NonPartisan,Phone,Likely.Voters,774,53,45,1,2
2008-11-04,20080197,CO,Rasmussen,,,2008-08-13,,NonPartisan,IVR,Likely.Voters,500,48,49,1,2
2008-11-04,20080198,CO,QuinnipiacUniv,,,2008-08-21,,NonPartisan,Phone,Likely.Voters,1060,46,47,2,5
2008-11-04,20080199,CO,QuinnipiacUniv,WSJ | NYPost,,2008-06-24,,NonPartisan,Phone,Likely.Voters,1351,49,44,2,5
2008-11-04,20080200,CO,InsiderAdvantage,,,2008-09-10,,NonPartisan,IVR,Likely.Voters,501,49,46,1,4
2008-11-04,20080201,CO,Rasmussen,,,2008-07-21,,NonPartisan,IVR,Likely.Voters,500,50,47,1,3
2008-11-04,20080202,CO,InsiderAdvantage,,,2008-10-26,,NonPartisan,IVR,Likely.Voters,600,53,45,0,0
2008-11-04,20080203,CO,Rasmussen,Fox,,2008-09-07,,NonPartisan,IVR,Likely.Voters,500,49,46,2,2
2008-11-04,20080204,CO,QuinnipiacUniv,WSJ | NYPost,,2008-10-07,,NonPartisan,Phone,Likely.Voters,997,52,43,1,3
2008-11-04,20080205,CO,CNN,Time,,2008-10-14,,NonPartisan,Phone,Likely.Voters,762,51,47,0,2
2008-11-04,20080206,CO,Rasmussen,,,2008-10-16,,NonPartisan,IVR,Likely.Voters,700,52,45,1,2
2008-11-04,20080207,CO,Zogby,,,2008-10-13,,NonPartisan,Internet,Likely.Voters,980,48,47,0,6
2008-11-04,20080208,CO,Rasmussen,,,2008-09-23,,NonPartisan,IVR,Likely.Voters,700,50,47,1,2
2008-11-04,20080209,CO,InsiderAdvantage,,,2008-10-06,,NonPartisan,IVR,Likely.Voters,485,51,45,1,3
2008-11-04,20080210,CO,Rasmussen,,,2008-03-17,,NonPartisan,IVR,Likely.Voters,500,46,46,5,4
2008-11-04,20080211,CO,PPP,,,2008-07-10,,Partisan,IVR,Likely.Voters,1050,47,43,0,10
2008-11-04,20080212,CO,Rasmussen,,,2008-04-16,,NonPartisan,IVR,Likely.Voters,500,46,43,5,6
2008-11-04,20080213,CT,Rasmussen,,,2008-06-30,,NonPartisan,IVR,Likely.Voters,500,52,35,5,8
2008-11-04,20080214,CT,Zogby,,,2008-06-30,,NonPartisan,Internet,Likely.Voters,595,48,32,10,10
2008-11-04,20080215,CT,Rasmussen,,,2008-03-11,,NonPartisan,IVR,Likely.Voters,500,50,38,7,4
2008-11-04,20080216,CT,SurveyUSA,,,2008-09-25,,NonPartisan,IVR,General.Population,686,54,38,0,8
2008-11-04,20080217,CT,Rasmussen,,,2008-07-31,,NonPartisan,IVR,Likely.Voters,500,53,40,2,6
2008-11-04,20080218,CT,Research2000,DailyKos,,2008-07-02,,Partisan,Phone,Likely.Voters,600,57,35,0,8
2008-11-04,20080220,CT,ARG,,,2008-09-19,,NonPartisan,Phone,Likely.Voters,600,54,39,1,5
2008-11-04,20080221,CT,QuinnipiacUniv,,,2007-05-07,,NonPartisan,Phone,Registered.Voters,1427,46,38,2,12
2008-11-04,20080222,CT,SurveyUSA,,,2008-02-28,,NonPartisan,IVR,Registered.Voters,640,55,34,0,11
2008-11-04,20080223,CT,Rasmussen,,,2008-05-29,,NonPartisan,IVR,Likely.Voters,500,47,44,4,5
2008-11-04,20080224,CT,QuinnipiacUniv,,,2008-06-29,,NonPartisan,Phone,Registered.Voters,2437,56,35,1,7
2008-11-04,20080225,CT,Uconn,,,2008-10-22,,NonPartisan,Phone,Likely.Voters,502,56,31,1,12
2008-11-04,20080226,CT,Rasmussen,,,2008-09-16,,NonPartisan,IVR,Likely.Voters,500,53,41,0,5
2008-11-04,20080227,CT,QuinnipiacUniv,,,2007-02-12,,NonPartisan,Phone,Registered.Voters,1087,43,38,2,15
2008-11-04,20080228,CT,Rasmussen,,,2008-10-14,,NonPartisan,IVR,Likely.Voters,500,56,39,1,3
2008-11-04,20080229,CT,YouGov,,,2008-11-01,,NonPartisan,Internet,Registered.Voters,704,58,37,2,3
2008-11-04,20080230,CT,QuinnipiacUniv,,,2008-03-24,,NonPartisan,Phone,Registered.Voters,1697,52,35,1,9
2008-11-04,20080231,DC,ARG,,,2008-09-13,,NonPartisan,Phone,Likely.Voters,600,82,13,0,4
2008-11-04,20080232,DC,YouGov,,,2008-11-01,,NonPartisan,Internet,Registered.Voters,228,81,15,2,3
2008-11-04,20080233,DE,Rasmussen,,,2008-09-13,,NonPartisan,IVR,Likely.Voters,500,55,43,1,2
2008-11-04,20080234,DE,WestChesterUniv,,,2008-10-08,,NonPartisan,Phone,Likely.Voters,429,56,38,0,6
2008-11-04,20080235,DE,YouGov,,,2008-11-01,,NonPartisan,Internet,Registered.Voters,346,59,37,1,3
