Election date,Poll ID,State,Pollster,Sponsors,Poll start date,Poll end date,Source,Partisan,Method,Population type,Observations,Democratic,Republican,Other,Undecided
2012-11-06,13613-0-0,AZ,Behavior Research Center,,2012-04-09,2012-04-17,http://politicalticker.blogs.cnn.com/2012/04/25/poll-dead-heat-in-arizona/,Nonpartisan,Live Phone,Registered Voters,511.0,42.0,40.0,0.0,18.0
2012-11-06,13605-0-0,AZ,ASU - Merrill/Morrison Institute,,2012-04-10,2012-04-20,http://morrisoninstitute.asu.edu/media/news-events/poll-obama-vs.-romney-a-toss-up-in-arizona,Nonpartisan,Live Phone,Registered Voters,488.0,40.0,42.0,0.0,18.0
2012-11-06,13685-0-0,AZ,Magellan (R),,2012-04-30,2012-05-02,http://magellanstrategies.com/wp-content/uploads/2012/05/Magellan-Arizona-General-Election-Survey-Release-050312.pdf,Pollster,Automated Phone,Likely Voters,909.0,43.0,52.0,0.0,5.0
2012-11-06,13883-0-0,AZ,PPP (D),,2012-05-17,2012-05-20,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_POTUSAZ_052312.pdf,Pollster,Automated Phone,Registered Voters,500.0,43.0,50.0,0.0,8.0
2012-11-06,14127-0-0,AZ,PPP (D),,2012-06-04,2012-06-05,http://projectnewamerica.com/PNAAZPollJune2012.pdf,Pollster,Automated Phone,Likely Voters,791.0,46.0,49.0,0.0,5.0
2012-11-06,14196-0-0,AZ,Rasmussen,,2012-06-26,2012-06-26,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/arizona/election_2012_arizona_president,Nonpartisan,Automated Phone,Likely Voters,500.0,41.0,54.0,3.0,2.0
2012-11-06,14523-0-0,AZ,PPP (D-League of Conservation Voters),,2012-07-23,2012-07-25,http://www.lcv.org/elections/research/arizona-senate-poll.pdf,Sponsor,Automated Phone,Likely Voters,833.0,41.0,52.0,0.0,7.0
2012-11-06,15230-0-0,AZ,YouGov,,2012-09-07,2012-09-14,http://cdn.yougov.com/cumulus_uploads/document/9h4ma1z63z/Tabs_AZ.pdf,Nonpartisan,Internet,Likely Voters,628.0,41.0,51.0,4.0,4.0
2012-11-06,14970-0-0,AZ,PPP (D-League of Conservation Voters),,2012-09-07,2012-09-09,http://images.politico.com/global/2012/09/arizonaresultsivr2.html,Sponsor,Automated Phone,Likely Voters,993.0,44.0,53.0,0.0,4.0
2012-11-06,15204-0-0,AZ,Purple Strategies,,2012-09-15,2012-09-19,http://www.purplestrategies.com/wp-content/uploads/PurplePoll-9.21.12.pdf,Nonpartisan,IVR/Online,Likely Voters,600.0,45.0,48.0,0.0,7.0
2012-11-06,15409-0-0,AZ,Moore Information (R-HighGround),,2012-09-25,2012-09-26,http://www.azhighground.com/?p=913,Sponsor,Live Phone,Likely Voters,500.0,42.0,46.0,4.0,9.0
2012-11-06,15328-1-0,AZ,Rasmussen,,2012-09-25,2012-09-25,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_senate_elections/arizona/election_2012_arizona_senate,Nonpartisan,Automated Phone,Likely Voters,500.0,42.0,52.0,4.0,2.0
2012-11-06,15503-1-0,AZ,PPP (D),,2012-10-01,2012-10-03,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_AZ_1003.pdf,Pollster,Automated Phone,Likely Voters,595.0,44.0,53.0,0.0,3.0
2012-11-06,15861-0-0,AZ,YouGov,,2012-10-04,2012-10-11,http://today.yougov.com/news/2012/10/16/arizona/,Nonpartisan,Internet,Likely Voters,469.0,43.0,52.0,2.0,3.0
2012-11-06,15765-0-0,AZ,Behavior Research Center,,2012-10-04,2012-10-10,http://www.scribd.com/doc/109920743/RMP-2012-III-01,Nonpartisan,Live Phone,Registered Voters,523.0,42.0,40.0,5.0,13.0
2012-11-06,16184-0-0,AZ,Rasmussen/CBS 5,,2012-10-21,2012-10-21,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/arizona/election_2012_arizona_president,Nonpartisan,Automated Phone,Likely Voters,500.0,44.0,52.0,2.0,2.0
2012-11-06,16586-0-0,AZ,YouGov,,2012-10-31,2012-11-03,http://today.yougov.com/news/2012/11/04/arizona/,Nonpartisan,Internet,Likely Voters,702.0,44.0,52.0,2.0,3.0
2012-11-06,16560-0-0,AZ,PPP (D),,2012-11-02,2012-11-03,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_AZMT_1104.pdf,Pollster,Automated Phone,Likely Voters,1080.0,46.0,53.0,0.0,1.0
2012-11-06,10921-4-0,CA,PPP (D),,2011-01-28,2011-01-30,"http://www.latimes.com/news/nationworld/nation/la-na-1117-poll-presidential-20111117,0,4873711.story",Pollster,Automated Phone,Likely Voters,892.0,56.0,36.0,0.0,9.0
2012-11-06,12142-2-0,CA,USC/LATimes,,2011-10-30,2011-11-09,http://gqrr.com/articles/2683/6888_110911%20USC%20LA%20Times%20fq%20WEDNESDAY.pdf,Pollster,Live Phone,Registered Voters,1500.0,52.0,35.0,0.0,0.0
2012-11-06,12556-0-0,CA,SurveyUSA,KABC-TV (California) | KGTV-TV (California) | KPIX-TV (California),2011-11-10,2011-11-10,http://www.surveyusa.com/client/PollReport.aspx?g=a6fd94e2-7385-4288-a729-464692799ac2,Nonpartisan,Automated Phone,Adults,800.0,50.0,39.0,0.0,12.0
2012-11-06,12141-1-0,CA,PPP (D),,2011-11-10,2011-11-13,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_CA_1117.pdf,Pollster,Automated Phone,Likely Voters,500.0,57.0,36.0,0.0,7.0
2012-11-06,12189-0-0,CA,Field,,2011-11-15,2011-11-27,http://www.field.com/fieldpollonline/subscribers/Rls2397.pdf,Nonpartisan,Live Phone,Registered Voters,1000.0,50.0,40.0,0.0,10.0
2012-11-06,13139-0-0,CA,SurveyUSA,KABC-TV (California) | KGTV-TV (California) | KPIX-TV (California),2012-02-08,2012-02-09,http://www.surveyusa.com/client/PollReport.aspx?g=39de218d-a465-4ca7-b7a4-752edc520da8,Nonpartisan,IVR/Online,Registered Voters,2088.0,60.0,31.0,0.0,9.0
2012-11-06,13137-0-0,CA,Rasmussen,,2012-02-08,2012-02-16,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/california2/election_2012_california_president,Nonpartisan,Automated Phone,Likely Voters,500.0,57.0,35.0,4.0,4.0
2012-11-06,13138-1-0,CA,Field,,2012-02-11,2012-02-18,http://www.field.com/fieldpollonline/subscribers/Rls2403.pdf,Nonpartisan,Live Phone,Registered Voters,1003.0,55.0,35.0,0.0,10.0
2012-11-06,13359-1-0,CA,USC/LATimes,,2012-03-14,2012-03-19,"http://www.chicagotribune.com/news/nationworld/la-na-poll-presidential-20120325,0,2094998.story",Nonpartisan,Live Phone,Registered Voters,1500.0,57.0,36.0,0.0,0.0
2012-11-06,13427-0-0,CA,SurveyUSA,KABC-TV (California) | KGTV-TV (California) | KPIX-TV (California),2012-03-29,2012-04-02,http://www.surveyusa.com/client/PollReport.aspx?g=e0ca86dd-f10f-4eab-bfd9-83cc40996df1,Nonpartisan,IVR/Online,Registered Voters,1995.0,62.0,31.0,0.0,8.0
2012-11-06,13907-0-0,CA,PPIC,,2012-05-14,2012-05-20,http://www.ppic.org/content/pubs/survey/S_512MBS.pdf,Nonpartisan,Live Phone,Likely Voters,894.0,50.0,39.0,3.0,8.0
2012-11-06,13908-0-0,CA,USC/LATimes,,2012-05-17,2012-05-21,"http://www.latimes.com/news/nationworld/nation/la-na-poll-presidential-20120529,0,648534.story",Pollster,Live Phone,Registered Voters,1002.0,56.0,37.0,0.0,2.0
2012-11-06,13976-0-0,CA,Field,,2012-05-21,2012-05-29,http://www.field.com/fieldpollonline/subscribers/Rls2410.pdf,Nonpartisan,Live Phone,Registered Voters,710.0,48.0,32.0,0.0,17.0
2012-11-06,13975-0-0,CA,SurveyUSA,KABC-TV (California) | KGTV-TV (California) | KPIX-TV (California),2012-05-27,2012-05-29,http://www.surveyusa.com/client/PollReport.aspx?g=da340173-97ce-40dd-b3d4-04fcbf48a74c,Nonpartisan,IVR/Online,Registered Voters,1575.0,57.0,36.0,0.0,7.0
2012-11-06,14260-0-0,CA,Field,,2012-06-21,2012-07-02,http://www.field.com/fieldpollonline/subscribers/Rls2416.pdf,Nonpartisan,Live Phone,Likely Voters,848.0,55.0,37.0,3.0,5.0
2012-11-06,14419-0-0,CA,CBRT/Pepperdine/M4,California Business Roundtable,2012-07-16,2012-07-17,http://www.cbrt.org/wp-content/uploads/2012/07/CBRTPepperdineInitiativeTest-Topline.Party-Breakouts-FINAL.pdf,Nonpartisan,Internet,Likely Voters,812.0,52.0,33.0,5.0,10.0
2012-11-06,14761-0-0,CA,PACE/USC,USC,2012-08-03,2012-08-07,http://www.tulchinresearch.com/wp-content/uploads/2012/08/PACEUSC-Rossier-Poll-Results-for-EWA.pdf,Pollster,Live Phone,Likely Voters,1041.0,56.0,33.0,4.0,8.0
2012-11-06,15140-0-0,CA,Field/UC Berkeley,,2012-09-05,2012-09-17,http://field.com/fieldpollonline/subscribers/Rls2424.pdf,Nonpartisan,Live Phone,Likely Voters,891.0,58.0,34.0,2.0,6.0
2012-11-06,15220-0-0,CA,YouGov,,2012-09-07,2012-09-14,http://cdn.yougov.com/cumulus_uploads/document/jjrzpgk0uy/Tabs_CA.pdf,Nonpartisan,Internet,Likely Voters,1361.0,56.0,39.0,3.0,2.0
2012-11-06,15221-0-0,CA,PPIC,,2012-09-09,2012-09-16,http://www.ppic.org/content/pubs/survey/S_912MBS.pdf,Nonpartisan,Live Phone,Likely Voters,995.0,53.0,39.0,2.0,6.0
2012-11-06,15037-0-0,CA,CBRT/Pepperdine/M4,California Business Roundtable,2012-09-09,2012-09-12,http://www.cbrt.org/wp-content/uploads/2012/09/CBRTPep.ToplineTest5.Breakouts.FINAL_.pdf,Nonpartisan,Internet,Likely Voters,802.0,55.0,33.0,4.0,7.0
2012-11-06,14994-0-0,CA,SurveyUSA,KABC-TV (California) | KGTV-TV (California) | KPIX-TV (California),2012-09-09,2012-09-11,http://www.surveyusa.com/client/PollReport.aspx?g=26d4dab7-8c9c-4c48-9eea-71be8f536341,Nonpartisan,IVR/Online,Likely Voters,524.0,57.0,35.0,4.0,3.0
2012-11-06,15849-0-0,CA,YouGov,,2012-10-04,2012-10-11,http://today.yougov.com/news/2012/10/16/california/,Nonpartisan,Internet,Likely Voters,1169.0,58.0,39.0,2.0,1.0
2012-11-06,15722-1-0,CA,CBRT/Pepperdine/M4,California Business Roundtable,2012-10-07,2012-10-10,http://www.cbrt.org/wp-content/uploads/2012/10/CBRTPep.ToplineTest7.Breakouts.FINAL_.pdf,Nonpartisan,Internet,Likely Voters,830.0,54.0,33.0,4.0,9.0
2012-11-06,15694-0-0,CA,SurveyUSA,KABC-TV (California) | KGTV-TV (California) | KPIX-TV (California),2012-10-07,2012-10-09,http://www.surveyusa.com/client/PollPrint.aspx?g=b04e8f04-f3fd-4ced-9b18-5b374f5f13d8&d=0,Nonpartisan,IVR/Online,Likely Voters,539.0,53.0,39.0,4.0,4.0
2012-11-06,15948-0-0,CA,Reason/Rupe,Arthur N. Rupe,2012-10-11,2012-10-15,http://reason.com/assets/db/13505849198068.pdf,Nonpartisan,Live Phone,Likely Voters,508.0,53.0,38.0,4.0,5.0
2012-11-06,16165-0-0,CA,PPIC,,2012-10-14,2012-10-21,http://www.ppic.org/main/publication.asp?i=1038,Nonpartisan,Live Phone,Likely Voters,993.0,53.0,41.0,2.0,4.0
2012-11-06,16136-1-0,CA,USC/LATimes,,2012-10-15,2012-10-21,http://www.gqrr.com/images/stories/latusc.fq.102412.pdf,Pollster,Live Phone,Likely Voters,1440.0,55.0,39.0,0.0,2.0
2012-11-06,16496-1-0,CA,Field/UC Berkeley,,2012-10-17,2012-10-30,http://www.field.com/fieldpollonline/subscribers/Rls2433.pdf,Nonpartisan,Live Phone,Likely Voters,1566.0,54.0,39.0,2.0,5.0
2012-11-06,16376-0-0,CA,CBRT/Pepperdine/M4,California Business Roundtable,2012-10-21,2012-10-28,http://www.cbrt.org/wp-content/uploads/2012/10/CBRTPep.ToplineTest8.Breakouts.FINAL_.102812.pdf,Nonpartisan,Internet,Likely Voters,2115.0,56.0,33.0,4.0,7.0
2012-11-06,16569-0-0,CA,YouGov,,2012-10-31,2012-11-03,http://today.yougov.com/news/2012/11/04/california/,Nonpartisan,Internet,Likely Voters,1575.0,55.0,40.0,3.0,2.0
2012-11-06,12233-1-0,CO,PPP (D),,2011-12-01,2011-12-04,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_CO_1207925.pdf,Pollster,Automated Phone,Likely Voters,793.0,47.0,45.0,0.0,8.0
2012-11-06,13490-0-0,CO,PPP (D),,2012-04-05,2012-04-07,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_CO_041012.pdf,Pollster,Automated Phone,Registered Voters,542.0,53.0,40.0,0.0,7.0
2012-11-06,13616-0-0,CO,Purple Strategies,,2012-04-19,2012-04-23,http://www.purplestrategies.com/wp-content/uploads/AprilPurplePoll_v9.pdf,Nonpartisan,Automated Phone,Likely Voters,600.0,47.0,47.0,0.0,6.0
2012-11-06,13928-0-0,CO,Project New America,,2012-05-21,2012-05-24,http://www.projectnewamerica.com/PNACOPresidentialMemo5-29-12.pdf,Pollster,Automated Phone,Likely Voters,601.0,48.0,44.0,0.0,0.0
2012-11-06,13960-0-0,CO,NBC/Marist,,2012-05-22,2012-05-24,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/NBC-News-Marist-Poll-Colorado-Questionnaire_May-2012.pdf,Nonpartisan,Live Phone,Registered Voters,1030.0,46.0,45.0,1.0,8.0
2012-11-06,14034-1-0,CO,Purple Strategies,,2012-05-31,2012-06-05,http://www.purplestrategies.com/wp-content/uploads/6.2012-Purple-Poll.pdf,Nonpartisan,Automated Phone,Likely Voters,600.0,48.0,46.0,0.0,5.0
2012-11-06,14026-0-0,CO,Rasmussen,,2012-06-06,2012-06-06,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/colorado/election_2012_colorado_president,Nonpartisan,Automated Phone,Likely Voters,500.0,45.0,45.0,6.0,5.0
2012-11-06,14119-1-0,CO,PPP (D),,2012-06-14,2012-06-17,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_CO_061912.pdf,Pollster,Automated Phone,Likely Voters,799.0,49.0,42.0,0.0,8.0
2012-11-06,14320-0-0,CO,Garin-Hart-Yang (D-Priorities USA),,2012-06-25,2012-07-03,http://www.prioritiesusaaction.org/blog/2012-07-mitt-romneys-central-qualification-becomes-a-signifi,Sponsor,Live Phone,Likely Voters,600.0,49.0,42.0,0.0,0.0
2012-11-06,14174-0-0,CO,We Ask America,,2012-06-25,2012-06-25,http://weaskamerica.com/2012/06/26/va-co/,Nonpartisan,Automated Phone,Likely Voters,1083.0,47.0,43.0,0.0,10.0
2012-11-06,14355-1-0,CO,Purple Strategies,,2012-07-09,2012-07-13,http://www.purplestrategies.com/wp-content/uploads/7.2012-Purple-Poll.pdf,Nonpartisan,Automated Phone,Likely Voters,600.0,45.0,44.0,0.0,11.0
2012-11-06,14584-0-0,CO,Quinnipiac/NYT/CBS,,2012-07-31,2012-08-06,http://www.nytimes.com/interactive/2012/08/08/us/politics/08poll-results-documents.html?ref=politics,Nonpartisan,Live Phone,Likely Voters,1463.0,45.0,50.0,1.0,4.0
2012-11-06,14583-0-0,CO,PPP (D),,2012-08-02,2012-08-05,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_CO_080712.pdf,Pollster,Automated Phone,Likely Voters,799.0,49.0,43.0,0.0,7.0
2012-11-06,14579-0-0,CO,Rasmussen,,2012-08-06,2012-08-06,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/colorado/election_2012_colorado_president,Nonpartisan,Automated Phone,Likely Voters,500.0,47.0,47.0,3.0,2.0
2012-11-06,14784-0-0,CO,Gravis Marketing,,2012-08-09,2012-08-09,http://big.assets.huffingtonpost.com/ColoradoPoll.pdf.pdf,Nonpartisan,Automated Phone,Likely Voters,607.0,45.0,46.0,0.0,0.0
2012-11-06,14665-1-0,CO,Purple Strategies,,2012-08-13,2012-08-14,http://www.purplestrategies.com/wp-content/uploads/PurplePoll_Aug15_Final.pdf,Nonpartisan,Automated Phone,Likely Voters,600.0,49.0,46.0,0.0,5.0
2012-11-06,14767-0-0,CO,OnSight/Keating (D),,2012-08-21,2012-08-22,http://onsightpublicaffairs.com/media/wp-content/uploads/2012/08/KR-ONSIGHT-Colorado-Statewide-Poll-August-2012-Topline-Results-FOR-RELEASE.pdf,Sponsor,Live Phone,Likely Voters,500.0,48.0,44.0,2.0,5.0
2012-11-06,14870-0-0,CO,PPP (D),,2012-08-31,2012-09-02,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_CO_9312.pdf,Pollster,Automated Phone,Likely Voters,1001.0,49.0,46.0,0.0,5.0
2012-11-06,15151-0-0,CO,YouGov,,2012-09-07,2012-09-14,http://cdn.yougov.com/cumulus_uploads/document/56ha4weffa/cbsTabs_CO.pdf,Nonpartisan,Internet,Likely Voters,707.0,50.0,45.0,3.0,2.0
2012-11-06,15050-0-0,CO,Denver Post/SurveyUSA,,2012-09-09,2012-09-12,http://www.surveyusa.com/client/PollReport.aspx?g=7812eda4-2bb8-488e-8c78-b0e278a065b9,Nonpartisan,IVR/Online,Likely Voters,615.0,45.0,44.0,4.0,7.0
2012-11-06,15011-0-0,CO,OnSight/Project New America/Keating (D),Project New America,2012-09-10,2012-09-11,http://kdvr.com/2012/09/13/poll-shows-obama-up-five-on-romney-in-colorado/,Sponsor,Live Phone,Likely Voters,503.0,49.0,44.0,0.0,0.0
2012-11-06,15010-0-0,CO,ARG,,2012-09-10,2012-09-12,http://americanresearchgroup.com/pres2012/CO12.html,Nonpartisan,Live Phone,Likely Voters,600.0,49.0,47.0,1.0,3.0
2012-11-06,15120-0-0,CO,Quinnipiac/NYT/CBS,,2012-09-11,2012-09-17,http://www.cbsnews.com/8301-250_162-57515519/poll-obama-leads-in-virginia-wisconsin-tight-in-colorado/?pageNum=4&tag=contentMain;contentBody,Nonpartisan,Live Phone,Likely Voters,1497.0,48.0,47.0,2.0,3.0
2012-11-06,15197-0-0,CO,Purple Strategies,,2012-09-15,2012-09-19,http://www.purplestrategies.com/wp-content/uploads/PurplePoll-9.21.12.pdf,Nonpartisan,IVR/Online,Likely Voters,600.0,48.0,45.0,0.0,7.0
2012-11-06,15196-0-0,CO,NBC/WSJ/Marist,NBC News,2012-09-16,2012-09-18,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/NBC_Colorado.pdf,Nonpartisan,Live Phone,Likely Voters,971.0,50.0,45.0,1.0,4.0
2012-11-06,15104-1-0,CO,Rasmussen,,2012-09-17,2012-09-17,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/colorado/election_2012_colorado_president,Nonpartisan,Automated Phone,Likely Voters,500.0,45.0,47.0,2.0,6.0
2012-11-06,15254-1-0,CO,PPP (D),,2012-09-20,2012-09-23,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_CO_9231.pdf,Pollster,Automated Phone,Likely Voters,940.0,51.0,45.0,0.0,4.0
2012-11-06,15345-0-0,CO,Gravis Marketing,,2012-09-21,2012-09-22,http://gravismarketing.blogspot.com/2012/09/gravis-marketing-releases-newest.html,Nonpartisan,Automated Phone,Likely Voters,765.0,50.0,46.0,0.0,4.0
2012-11-06,15444-0-0,CO,We Ask America,,2012-09-25,2012-09-27,http://weaskamerica.com/2012/10/01/western-front/,Nonpartisan,Automated Phone,Likely Voters,1273.0,49.0,46.0,1.0,4.0
2012-11-06,15545-0-0,CO,McLaughlin (R-American Conservative Union),,2012-09-30,2012-10-02,http://mclaughlinonline.com/lib/sitefiles/National_ACU_10-3-12_Presentation_ACU.pdf,Sponsor,Live Phone,Likely Voters,300.0,46.0,50.0,0.0,4.0
2012-11-06,15569-0-0,CO,Gravis Marketing,,2012-10-03,2012-10-04,http://www.scribd.com/doc/109149184/Report-Final-Colorado-10-3-2012,Nonpartisan,Automated Phone,Likely Voters,1285.0,46.0,49.0,0.0,5.0
2012-11-06,15842-0-0,CO,YouGov,,2012-10-04,2012-10-11,http://today.yougov.com/news/2012/10/16/colorado/,Nonpartisan,Internet,Likely Voters,527.0,48.0,45.0,2.0,5.0
2012-11-06,15680-0-0,CO,Quinnipiac/NYT/CBS,,2012-10-04,2012-10-09,http://www.nytimes.com/interactive/2012/10/11/us/politics/qunnipiac-new-york-times-cbs-poll-results.html,Nonpartisan,Live Phone,Likely Voters,1254.0,47.0,48.0,2.0,2.0
2012-11-06,15567-0-0,CO,Selzer/University of Denver,,2012-10-04,2012-10-05,http://debate2012.du.edu/media/documents/coloradovoterspoll.pdf,Nonpartisan,Live Phone,Likely Voters,604.0,47.0,43.0,4.0,5.0
2012-11-06,15777-0-0,CO,Gravis Marketing,,2012-10-05,2012-10-11,http://gravismarketing.blogspot.com/2012/10/gravis-marketing-colorado-presidential.html,Nonpartisan,Automated Phone,Likely Voters,2089.0,48.0,46.0,0.0,6.0
2012-11-06,15628-0-0,CO,ARG,,2012-10-05,2012-10-08,http://americanresearchgroup.com/pres2012/CO12.html,Nonpartisan,Live Phone,Likely Voters,600.0,46.0,50.0,1.0,3.0
2012-11-06,15583-0-0,CO,Rasmussen,,2012-10-07,2012-10-07,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/colorado/election_2012_colorado_president,Nonpartisan,Automated Phone,Likely Voters,500.0,49.0,48.0,1.0,2.0
2012-11-06,15754-0-0,CO,Denver Post/SurveyUSA,,2012-10-09,2012-10-10,http://www.surveyusa.com/client/PollReport.aspx?g=c33f6e0a-00b5-4764-8ee2-525a01ca58b0,Nonpartisan,IVR/Online,Likely Voters,614.0,45.0,46.0,3.0,5.0
2012-11-06,15897-0-0,CO,Grove Insight (D-Project New America),,2012-10-15,2012-10-16,http://big.assets.huffingtonpost.com/PNAColorado1007.pdf,Pollster,Live Phone,Likely Voters,500.0,47.0,44.0,2.0,7.0
2012-11-06,15821-0-0,CO,We Ask America,,2012-10-15,2012-10-15,http://weaskamerica.com/2012/10/16/ia-co/,Nonpartisan,Automated Phone,Likely Voters,1206.0,47.0,48.0,1.0,4.0
2012-11-06,15931-0-0,CO,PPP (D),,2012-10-16,2012-10-18,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_CO_1018.pdf,Pollster,Automated Phone,Likely Voters,1000.0,50.0,47.0,0.0,3.0
2012-11-06,16022-0-0,CO,Rasmussen,,2012-10-21,2012-10-21,http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/colorado/election_2012_colorado_president,Nonpartisan,Automated Phone,Likely Voters,500.0,46.0,50.0,2.0,1.0
2012-11-06,16206-0-0,CO,Purple Strategies,,2012-10-23,2012-10-25,http://www.purplestrategies.com/wp-content/uploads/October_v7.pdf,Nonpartisan,IVR/Online,Likely Voters,600.0,47.0,46.0,1.0,5.0
2012-11-06,16176-0-0,CO,OnSight/Keating (D),,2012-10-23,2012-10-24,http://big.assets.huffingtonpost.com/KeatingCO10231024.pdf,Sponsor,Live Phone,Likely Voters,502.0,48.0,45.0,0.0,0.0
2012-11-06,16175-1-0,CO,NBC/WSJ/Marist,NBC News,2012-10-23,2012-10-24,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/NBC%20News_WSJ_Marist%20Poll%20Colorado%20Annotated%20Questionnaire_October%2025%202012.pdf,Nonpartisan,Live Phone,Likely Voters,1128.0,48.0,48.0,2.0,2.0
2012-11-06,16172-0-0,CO,PPP (D),,2012-10-23,2012-10-25,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_CO_1025.pdf,Pollster,Automated Phone,Likely Voters,904.0,51.0,47.0,0.0,2.0
2012-11-06,16156-0-0,CO,Grove Insight (D-Project New America/USAction),Project New America,2012-10-23,2012-10-24,http://big.assets.huffingtonpost.com/GroveCO102512.pdf,Sponsor,Live Phone,Likely Voters,500.0,46.0,43.0,3.0,8.0
2012-11-06,16277-0-0,CO,ARG,,2012-10-25,2012-10-28,http://americanresearchgroup.com/pres2012/CO12.html,Nonpartisan,Live Phone,Likely Voters,600.0,47.0,48.0,1.0,4.0
2012-11-06,16434-0-0,CO,CNN,,2012-10-26,2012-10-31,http://politicalticker.blogs.cnn.com/2012/11/01/cnn-poll-tight-race-in-rocky-mountain-battleground-2/,Nonpartisan,Live Phone,Likely Voters,764.0,50.0,48.0,1.0,1.0
2012-11-06,16465-0-0,CO,Denver Post/SurveyUSA,,2012-10-28,2012-10-31,http://www.denverpost.com/breakingnews/ci_21914514/poll-obama-romney-still-essentially-tied-colorado,Nonpartisan,Mixed,Likely Voters,695.0,47.0,45.0,0.0,0.0
