Election date,Poll ID,State,Pollster,Sponsors,Poll start date,Poll end date,Source,Partisan,Method,Population type,Observations,Democratic,Republican,Other,Undecided
2016-11-08,24751-0-0,AZ,OH Predictive Insights (R),,2016-06-20,2016-06-20,http://email.connectstrategic.com/t/j-2A45CA0283AA87B8,Pollster,Automated Phone,Likely Voters,1060.0,47.0,42.0,6.0,6.0
2016-11-08,24785-0-0,AZ,PPP (D-Americans United for Change/Constitutional Responsibility Project) ,Americans United for Change,2016-06-22,2016-06-23,http://www.americansunitedforchange.org/page/-/SupremeCourtMemo62816.pdf,Sponsor,IVR/Online,Likely Voters,691.0,40.0,44.0,0.0,16.0
2016-11-08,25079-0-0,AZ,CBS/YouGov,,2016-08-02,2016-08-05,https://today.yougov.com/news/2016/08/07/cbs-battleground-tracker-arizona-nevada-virginia/,Nonpartisan,Internet,Likely Voters,1095.0,42.0,44.0,9.0,5.0
2016-11-08,25351-0-0,AZ,WashPost/SurveyMonkey,,2016-08-09,2016-09-01,http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/,Nonpartisan,Internet,Registered Voters,2026.0,46.0,45.0,0.0,9.0
2016-11-08,25351-1-0,AZ,WashPost/SurveyMonkey,,2016-08-09,2016-09-01,http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/,Nonpartisan,Internet,Registered Voters,2026.0,37.0,39.0,17.0,6.0
2016-11-08,26257-0-0,AZ,Arizona Republic/Morrison/Cronkite News ,Cronkite News,2016-08-17,2016-08-31,https://morrisoninstitute.asu.edu/news/arizona-republicmorrisoncronkite-news-poll-finds-arizona-grabs-presidential-election,Nonpartisan,Live Phone,Likely Voters,704.0,35.0,34.0,9.0,23.0
2016-11-08,25252-0-0,AZ,CNN,,2016-08-18,2016-08-23,http://www.cnn.com/2016/08/24/politics/arizona-north-carolina-polls-trump-clinton/index.html,Nonpartisan,Live Phone,Likely Voters,809.0,44.0,49.0,2.0,5.0
2016-11-08,25252-1-0,AZ,CNN,,2016-08-18,2016-08-23,http://www.cnn.com/2016/08/24/politics/arizona-north-carolina-polls-trump-clinton/index.html,Nonpartisan,Live Phone,Likely Voters,809.0,38.0,45.0,17.0,1.0
2016-11-08,25280-0-0,AZ,OH Predictive Insights (R),,2016-08-25,2016-08-27,http://email.connectstrategic.com/t/j-73630F4BD52B12D8,Pollster,IVR/Live Phone,Likely Voters,728.0,40.0,39.0,8.0,13.0
2016-11-08,25314-0-0,AZ,PPP (D-NELP) ,,2016-08-26,2016-08-28,http://nelpaction.org/wp-content/uploads/2016/08/AZResults1.pdf,Sponsor,IVR/Online,Likely Voters,837.0,43.0,46.0,0.0,11.0
2016-11-08,25445-0-0,AZ,NBC/WSJ/Marist,NBC News,2016-09-06,2016-09-08,http://www.nbcnews.com/politics/2016-election/clinton-trump-deadlocked-battleground-states-polls-n646216,Nonpartisan,Live Phone,Likely Voters,649.0,41.0,42.0,2.0,14.0
2016-11-08,25445-1-0,AZ,NBC/WSJ/Marist,NBC News,2016-09-06,2016-09-08,http://www.nbcnews.com/politics/2016-election/clinton-trump-deadlocked-battleground-states-polls-n646216,Nonpartisan,Live Phone,Likely Voters,649.0,38.0,40.0,16.0,6.0
2016-11-08,25851-0-0,AZ,Ipsos/Reuters,,2016-09-09,2016-09-29,http://www.ipsos-na.com/download/pr.aspx?id=15971,Nonpartisan,Internet,Likely Voters,802.0,44.0,46.0,0.0,10.0
2016-11-08,25626-0-0,AZ,Insights West,,2016-09-12,2016-09-14,http://www.insightswest.com/news/trump-leads-in-arizona-and-nevada-clinton-in-california-and-washington/?utm_source=Political+List+%28US+Election%29&utm_campaign=8423b3928c-Political_List_2016_US_Election_9_21_2016&utm_medium=email&utm_term=0_4223c8f7cf-8,Nonpartisan,Internet,Likely Voters,484.0,33.0,37.0,11.0,19.0
2016-11-08,25721-0-0,AZ,Data Orbital (R),,2016-09-20,2016-09-22,http://us12.campaign-archive2.com/?u=5a280d25318f2afe3f311adb6&id=ff56065af6&e=3783c2dfd6,Pollster,Live Phone,Likely Voters,550.0,38.0,40.0,9.0,14.0
2016-11-08,26344-1-0,AZ,Ipsos/Reuters,,2016-09-23,2016-10-13,http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf,Nonpartisan,Internet,Likely Voters,1665.0,39.0,45.0,0.0,16.0
2016-11-08,25986-0-0,AZ,OH Predictive Insights (R),,2016-09-28,2016-09-30,http://email.connectstrategic.com/t/j-5C5134BA69C80539,Pollster,IVR/Live Phone,Likely Voters,718.0,42.0,42.0,6.0,9.0
2016-11-08,26443-0-0,AZ,Ipsos/Reuters,,2016-10-06,2016-10-18,http://www.ipsos-na.com/download/pr.aspx?id=16061,Nonpartisan,Internet,Likely Voters,1538.0,38.0,45.0,8.0,9.0
2016-11-08,26443-1-0,AZ,Ipsos/Reuters,,2016-10-06,2016-10-18,http://www.ipsos-na.com/download/pr.aspx?id=16061,Nonpartisan,Internet,Likely Voters,1538.0,39.0,44.0,10.0,6.0
2016-11-08,26238-0-0,AZ,WashPost/SurveyMonkey,,2016-10-08,2016-10-16,http://apps.washingtonpost.com/g/page/politics/surveymonkey-15-state-poll/2103/,Nonpartisan,Internet,Likely Voters,1028.0,46.0,47.0,0.0,7.0
2016-11-08,26238-1-0,AZ,WashPost/SurveyMonkey,,2016-10-08,2016-10-16,http://apps.washingtonpost.com/g/page/politics/surveymonkey-15-state-poll/2103/,Nonpartisan,Internet,Likely Voters,1028.0,41.0,44.0,13.0,2.0
2016-11-08,26264-0-0,AZ,Arizona Republic/Morrison/Cronkite News ,Cronkite News,2016-10-10,2016-10-15,http://www.azcentral.com/story/news/politics/elections/2016/10/19/arizona-republic-morrison-cronkite-news-poll/92390100/,Nonpartisan,Live Phone,Likely Voters,713.0,43.0,38.0,11.0,8.0
2016-11-08,26205-0-0,AZ,Data Orbital (R),,2016-10-11,2016-10-12,http://big.assets.huffingtonpost.com/DATAORBITALAZ.pdf,Pollster,Live Phone,Likely Voters,550.0,43.0,42.0,5.0,10.0
2016-11-08,26220-0-0,AZ,HighGround,,2016-10-14,2016-10-14,http://www.azhighground.com/blog/post/latest-poll-shows-arizona-is-officially-a-battleground-state,Nonpartisan,Live Phone,Likely Voters,400.0,39.0,37.0,16.0,10.0
2016-11-08,26806-1-0,AZ,Ipsos/Reuters,,2016-10-17,2016-11-06,http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf,Nonpartisan,Internet,Likely Voters,857.0,42.0,47.0,0.0,11.0
2016-11-08,26340-0-0,AZ,Data Orbital (R),,2016-10-17,2016-10-18,https://gallery.mailchimp.com/5a280d25318f2afe3f311adb6/files/AZ_Statewide_LivePoll_Questionnaire_10_18.pdf,Pollster,Live Phone,Likely Voters,550.0,41.0,41.0,8.0,10.0
2016-11-08,26441-2-0,AZ,SurveyMonkey,,2016-10-18,2016-10-24,https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus,Nonpartisan,Internet,Likely Voters,1550.0,41.0,42.0,16.0,2.0
2016-11-08,26428-0-0,AZ,Monmouth University,,2016-10-21,2016-10-24,https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_AZ_102516/,Nonpartisan,Live Phone,Likely Voters,401.0,45.0,46.0,7.0,3.0
2016-11-08,26523-0-0,AZ,Saguaro,,2016-10-22,2016-10-24,https://www.scribd.com/document/329155539/Saguaro-Strategies-General-Election-Survey-October-22-24,Nonpartisan,Internet,Likely Voters,2385.0,48.0,46.0,6.0,0.0
2016-11-08,26592-2-0,AZ,UPI/CVOTER,,2016-10-23,2016-10-29,https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html,Nonpartisan,Internet,Likely Voters,373.0,43.0,51.0,5.0,0.0
2016-11-08,26596-2-0,AZ,SurveyMonkey,,2016-10-25,2016-10-31,https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus,Nonpartisan,Internet,Likely Voters,1457.0,43.0,44.0,10.0,3.0
2016-11-08,26549-0-0,AZ,CBS/YouGov,,2016-10-26,2016-10-28,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/6mg2jgp2wr/AZ_Final_20161030.pdf,Nonpartisan,Internet,Likely Voters,994.0,42.0,44.0,9.0,5.0
2016-11-08,26536-0-0,AZ,Data Orbital (R),,2016-10-26,2016-10-27,https://gallery.mailchimp.com/5a280d25318f2afe3f311adb6/files/AZ_Statewide_LivePoll_Demographics_10_27.01.pdf,Pollster,Live Phone,Likely Voters,550.0,40.0,42.0,9.0,10.0
2016-11-08,26620-0-0,AZ,CNN,,2016-10-27,2016-11-01,http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html,Nonpartisan,Live Phone,Likely Voters,769.0,44.0,49.0,6.0,0.0
2016-11-08,26620-1-0,AZ,CNN,,2016-10-27,2016-11-01,http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html,Nonpartisan,Live Phone,Likely Voters,769.0,46.0,51.0,0.0,2.0
2016-11-08,26645-0-0,AZ,Lucid/The Times-Picayune,,2016-10-28,2016-11-01,https://luc.id/wp-content/uploads/2016/11/Arizona-Battleground-Results.pdf,Nonpartisan,Internet,Likely Voters,1113.0,41.0,42.0,11.0,6.0
2016-11-08,26651-0-0,AZ,Saguaro,,2016-10-29,2016-10-31,https://www.scribd.com/document/329707080/Saguaro-Strategies-Arizona-Survey-October-29-31,Nonpartisan,Internet,Likely Voters,2229.0,45.0,44.0,11.0,0.0
2016-11-08,26599-0-0,AZ,Data Orbital (R),,2016-10-29,2016-10-30,https://gallery.mailchimp.com/5a280d25318f2afe3f311adb6/files/AZ_Statewide__LivePoll__Toplines_10_30.pdf,Pollster,Live Phone,Likely Voters,550.0,41.0,45.0,6.0,8.0
2016-11-08,26793-2-0,AZ,UPI/CVOTER,,2016-10-30,2016-11-06,https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html,Nonpartisan,Internet,Likely Voters,354.0,43.0,50.0,7.0,0.0
2016-11-08,26682-0-0,AZ,NBC/WSJ/Marist,NBC News,2016-10-30,2016-11-01,http://www.nbcnews.com/politics/2016-election/polls-trump-ahead-arizona-texas-deadlocked-georgia-n677626,Nonpartisan,Live Phone,Likely Voters,719.0,41.0,46.0,6.0,8.0
2016-11-08,26682-1-0,AZ,NBC/WSJ/Marist,NBC News,2016-10-30,2016-11-01,http://www.nbcnews.com/politics/2016-election/polls-trump-ahead-arizona-texas-deadlocked-georgia-n677626,Nonpartisan,Live Phone,Likely Voters,719.0,40.0,45.0,14.0,1.0
2016-11-08,26807-2-0,AZ,SurveyMonkey,,2016-11-01,2016-11-07,https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus,Nonpartisan,Internet,Likely Voters,2609.0,45.0,42.0,10.0,3.0
2016-11-08,26711-0-0,AZ,Data Orbital (R),,2016-11-01,2016-11-02,https://gallery.mailchimp.com/5a280d25318f2afe3f311adb6/files/AZ_Statewide_LivePoll_Report_11_3.pdf,Pollster,Live Phone,Likely Voters,550.0,39.0,47.0,8.0,7.0
2016-11-08,26813-0-0,AZ,Insights West,,2016-11-04,2016-11-06,http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/,Nonpartisan,Internet,Likely Voters,392.0,41.0,43.0,8.0,8.0
2016-11-08,26792-0-0,AZ,Data Orbital (R),,2016-11-04,2016-11-06,https://gallery.mailchimp.com/5a280d25318f2afe3f311adb6/files/AZ_Statewide__LivePoll__Toplines_11_6.pdf,Pollster,Live Phone,Likely Voters,550.0,44.0,47.0,8.0,1.0
2016-11-08,24155-3-0,CA,USC/LA Times,LA Times,2016-03-16,2016-03-23,http://www.gqrr.com/articles/2016/3/25/new-university-of-southern-california-dornsife-college-of-letters-arts-and-scienceslos-angeles-times-poll,Nonpartisan,Live Phone,Likely Voters,1202.0,57.0,30.0,5.0,8.0
2016-11-08,24222-1-0,CA,Field,,2016-03-24,2016-04-04,http://www.field.com/fieldpollonline/subscribers/Rls2530.pdf,Nonpartisan,Live Phone,Registered Voters,1400.0,59.0,31.0,0.0,10.0
2016-11-08,24205-2-0,CA,SurveyUSA,,2016-03-30,2016-04-03,http://www.surveyusa.com/client/PollReport.aspx?g=4114a2c6-213f-4447-8c7b-eb137d8c3312,Nonpartisan,IVR/Online,Likely Voters,1507.0,60.0,26.0,0.0,14.0
2016-11-08,24427-2-0,CA,SurveyUSA/KABC/SCNG,KABC-TV (California),2016-04-27,2016-04-30,http://abc7.com/politics/poll-ca-voters-resigned-to-vote-for-donald-trump-vs-hillary-clinton/1318792/,Nonpartisan,IVR/Online,Likely Voters,1683.0,56.0,34.0,0.0,10.0
2016-11-08,24574-1-0,CA,YouGov/Hoover Institution,,2016-05-04,2016-05-16,http://www.hoover.org/sites/default/files/golden_state_poll_may_2016_results_tables_final.pdf,Nonpartisan,Internet,Likely Voters,1196.0,45.0,33.0,12.0,10.0
2016-11-08,24558-0-0,CA,PPIC,,2016-05-13,2016-05-22,http://www.ppic.org/content/pubs/survey/S_516MBS.pdf,Nonpartisan,Live Phone,Likely Voters,996.0,49.0,39.0,11.0,0.0
2016-11-08,24603-1-0,CA,USC/LA Times,LA Times,2016-05-19,2016-05-31,http://www.latimes.com/politics/la-pol-ca-latimes-presidential-primary-poll-20160602-snap-story.html,Nonpartisan,Live Phone,Likely Voters,1150.0,54.0,33.0,4.0,10.0
2016-11-08,24538-1-0,CA,SurveyUSA/KABC/SCNG,KABC-TV (California),2016-05-19,2016-05-22,http://abc7.com/politics/poll-clinton-poised-to-defeat-sanders-in-california-primary/1351808/,Nonpartisan,IVR/Online,Likely Voters,1383.0,52.0,38.0,0.0,10.0
2016-11-08,24594-1-0,CA,Field,,2016-05-26,2016-05-31,http://www.sacbee.com/news/politics-government/capitol-alert/article81253937.ece/BINARY/Rls2537,Nonpartisan,Live Phone,Likely Voters,1002.0,53.0,34.0,0.0,13.0
2016-11-08,24593-1-0,CA,NBC/WSJ/Marist,NBC News,2016-05-29,2016-05-31,http://www.nbcnews.com/politics/first-read/it-s-close-california-clinton-49-sanders-47-n584141,Nonpartisan,Live Phone,Registered Voters,1833.0,55.0,31.0,0.0,14.0
2016-11-08,24612-1-0,CA,CBS/YouGov,,2016-05-31,2016-06-03,https://today.yougov.com/news/2016/06/04/democratic-primary-clinton-faces-close-race-califo/,Nonpartisan,Internet,Likely Voters,1187.0,48.0,33.0,12.0,7.0
2016-11-08,24831-0-0,CA,Field,,2016-06-08,2016-07-02,http://www.field.com/fieldpollonline/subscribers/Rls2540.pdf,Nonpartisan,Live Phone,Likely Voters,956.0,58.0,28.0,0.0,14.0
2016-11-08,24831-1-0,CA,Field,,2016-06-08,2016-07-02,http://www.field.com/fieldpollonline/subscribers/Rls2540.pdf,Nonpartisan,Live Phone,Likely Voters,956.0,50.0,26.0,10.0,14.0
2016-11-08,24674-0-0,CA,SurveyMonkey/USC/LA Times,LA Times,2016-06-09,2016-06-10,https://drive.google.com/a/huffingtonpost.com/folderview?id=0B99Qs2h04TA7OV9wNEpSQjdZTm8&usp=sharing#,Nonpartisan,Live Phone,Likely Voters,1264.0,54.0,28.0,12.0,6.0
2016-11-08,24674-1-0,CA,SurveyMonkey/USC/LA Times,LA Times,2016-06-09,2016-06-10,https://drive.google.com/a/huffingtonpost.com/folderview?id=0B99Qs2h04TA7OV9wNEpSQjdZTm8&usp=sharing#,Nonpartisan,Live Phone,Likely Voters,1264.0,61.0,31.0,0.0,8.0
2016-11-08,24984-0-0,CA,PPIC,,2016-07-10,2016-07-19,http://www.ppic.org/content/pubs/survey/S_716MBS.pdf,Nonpartisan,Live Phone,Likely Voters,1056.0,46.0,30.0,15.0,9.0
2016-11-08,25359-0-0,CA,WashPost/SurveyMonkey,,2016-08-09,2016-09-01,http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/,Nonpartisan,Internet,Registered Voters,2574.0,57.0,33.0,0.0,9.0
2016-11-08,25359-1-0,CA,WashPost/SurveyMonkey,,2016-08-09,2016-09-01,http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/,Nonpartisan,Internet,Registered Voters,2574.0,49.0,28.0,19.0,5.0
2016-11-08,25540-0-0,CA,Ipsos/Reuters,,2016-08-26,2016-09-15,http://big.assets.huffingtonpost.com/Reuters.9.16.16.pdf,Nonpartisan,Internet,Likely Voters,1189.0,63.0,24.0,0.0,13.0
2016-11-08,25472-0-0,CA,SurveyMonkey/LA Times,,2016-09-01,2016-09-08,http://www.latimes.com/politics/la-na-pol-california-presidential-poll-20160912-snap-story.html,Nonpartisan,Internet,Registered Voters,4212.0,58.0,33.0,0.0,9.0
2016-11-08,25472-1-0,CA,SurveyMonkey/LA Times,,2016-09-01,2016-09-08,http://www.latimes.com/politics/la-na-pol-california-presidential-poll-20160912-snap-story.html,Nonpartisan,Internet,Registered Voters,4212.0,49.0,29.0,17.0,5.0
2016-11-08,25577-0-0,CA,Field/UC Berkeley/YouGov,,2016-09-07,2016-09-13,http://www.field.com/fieldpollonline/subscribers/Rls2545.pdf,Nonpartisan,Internet,Likely Voters,1426.0,50.0,33.0,11.0,6.0
2016-11-08,25467-0-0,CA,SurveyUSA/KABC/SCNG,KABC-TV (California),2016-09-08,2016-09-11,http://www.surveyusa.com/client/PollReport.aspx?g=be4ba04e-e65c-4fbc-9d1c-bf87874ec85d&utm_source=twitterfeed&utm_medium=twitter,Nonpartisan,IVR/Online,Likely Voters,678.0,57.0,32.0,4.0,7.0
2016-11-08,25632-0-0,CA,PPIC,,2016-09-09,2016-09-18,http://www.ppic.org/main/publication.asp?i=1214,Nonpartisan,Live Phone,Likely Voters,1045.0,47.0,31.0,17.0,6.0
2016-11-08,25629-0-0,CA,Insights West,,2016-09-12,2016-09-14,http://www.insightswest.com/news/trump-leads-in-arizona-and-nevada-clinton-in-california-and-washington/?utm_source=Political+List+%28US+Election%29&utm_campaign=8423b3928c-Political_List_2016_US_Election_9_21_2016&utm_medium=email&utm_term=0_4223c8f7cf-8,Nonpartisan,Internet,Likely Voters,515.0,57.0,30.0,4.0,9.0
2016-11-08,26100-0-0,CA,Ipsos/Reuters,,2016-09-16,2016-10-06,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7407,Nonpartisan,Internet,Likely Voters,1885.0,61.0,28.0,0.0,11.0
2016-11-08,26344-3-0,CA,Ipsos/Reuters,,2016-09-23,2016-10-13,http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf,Nonpartisan,Internet,Likely Voters,1196.0,66.0,22.0,0.0,12.0
2016-11-08,25809-0-0,CA,SurveyUSA/KABC/SCNG,KABC-TV (California),2016-09-27,2016-09-28,http://www.surveyusa.com/index.php/2016/09/30/after-1st-debate-clinton-tip-toes-1-point-further-ahead-of-trump-in-ca-sanchez-closes-in-on-harris-for-senate-recreational-marijuana-ballot-proposition-clings-to-narrow-advantage-40-days-till-vote/,Nonpartisan,IVR/Online,Likely Voters,732.0,59.0,33.0,5.0,3.0
2016-11-08,26535-0-0,CA,Sacramento State,,2016-10-07,2016-10-13,http://www.csus.edu/isr/calspeaks/surveys/october%202016%20election%20topline.pdf,Nonpartisan,Internet,Likely Voters,622.0,61.0,25.0,7.0,8.0
2016-11-08,26224-0-0,CA,SurveyUSA/KABC/SCNG,KABC-TV (California),2016-10-13,2016-10-15,http://www.surveyusa.com/client/PollReport.aspx?g=2fc82f11-ee2e-4d25-b88d-805a1a9a3ae8,Nonpartisan,IVR/Online,Likely Voters,725.0,56.0,30.0,6.0,7.0
2016-11-08,26498-0-0,CA,PPIC,,2016-10-14,2016-10-23,http://www.ppic.org/main/publication.asp?i=1218,Nonpartisan,Live Phone,Likely Voters,1012.0,54.0,28.0,12.0,5.0
2016-11-08,26806-3-0,CA,Ipsos/Reuters,,2016-10-17,2016-11-06,http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf,Nonpartisan,Internet,Likely Voters,1393.0,59.0,32.0,0.0,9.0
2016-11-08,26441-4-0,CA,SurveyMonkey,,2016-10-18,2016-10-24,https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus,Nonpartisan,Internet,Likely Voters,1923.0,54.0,31.0,13.0,2.0
2016-11-08,26726-0-0,CA,USC/LA Times,LA Times,2016-10-22,2016-10-30,https://gqrr.app.box.com/s/e43t1oo48vr9kfrz5t1fhl3qbfsoz39v,Nonpartisan,Live Phone,Likely Voters,1365.0,54.0,30.0,8.0,7.0
2016-11-08,26726-1-0,CA,USC/LA Times,LA Times,2016-10-22,2016-10-30,https://gqrr.app.box.com/s/e43t1oo48vr9kfrz5t1fhl3qbfsoz39v,Nonpartisan,Live Phone,Likely Voters,1365.0,58.0,33.0,4.0,6.0
2016-11-08,26592-4-0,CA,UPI/CVOTER,,2016-10-23,2016-10-29,https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html,Nonpartisan,Internet,Likely Voters,481.0,58.0,38.0,4.0,0.0
2016-11-08,26655-0-0,CA,Field/UC Berkeley/YouGov,,2016-10-25,2016-10-31,http://www.field.com/fieldpollonline/subscribers/Rls2554.pdf,Nonpartisan,Internet,Likely Voters,1498.0,53.0,33.0,7.0,7.0
2016-11-08,26596-4-0,CA,SurveyMonkey,,2016-10-25,2016-10-31,https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus,Nonpartisan,Internet,Likely Voters,2505.0,55.0,30.0,12.0,3.0
2016-11-08,26606-0-0,CA,SurveyUSA/KABC/SCNG,KABC-TV (California),2016-10-28,2016-10-31,https://cbssanfran.files.wordpress.com/2016/11/survey_usa_president_senate_110116.pdf,Nonpartisan,IVR/Online,Likely Voters,747.0,56.0,35.0,5.0,4.0
2016-11-08,26793-4-0,CA,UPI/CVOTER,,2016-10-30,2016-11-06,https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html,Nonpartisan,Internet,Likely Voters,507.0,58.0,37.0,5.0,0.0
2016-11-08,26807-4-0,CA,SurveyMonkey,,2016-11-01,2016-11-07,https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus,Nonpartisan,Internet,Likely Voters,2712.0,56.0,31.0,11.0,2.0
2016-11-08,26815-0-0,CA,Insights West,,2016-11-04,2016-11-06,http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/,Nonpartisan,Internet,Likely Voters,401.0,54.0,32.0,7.0,7.0
