Poll ID,Observations,Poll start date,Poll end date,State,Democratic,Other,Republican,Undecided,Election date
christopher-newport-26772,1193,2016-11-01,2016-11-06,VA,48.0,4.5,42.0,2.5,2016-11-08
civitas-r-22883,600,2015-09-28,2015-09-30,NC,47.0,0.0,43.0,5.5,2016-11-08
civitas-r-24421,600,2016-04-23,2016-04-25,NC,49.0,2.0,37.0,6.0,2016-11-08
civitas-r-24565,600,2016-05-21,2016-05-23,NC,36.0,5.0,39.0,5.5,2016-11-08
civitas-r-25497,600,2016-09-11,2016-09-12,NC,42.0,5.0,42.0,9.0,2016-11-08
civitas-r-26283,600,2016-10-14,2016-10-17,NC,45.0,6.0,43.0,3.0,2016-11-08
clarity-d-end-citizens-united-26159,1010,2016-10-10,2016-10-11,NV,43.0,6.0,43.0,8.0,2016-11-08
clarus-wwl-tv-the-advocate-22846,800,2015-09-20,2015-09-23,LA,39.0,0.0,47.0,0.0,2016-11-08
clout-research-r-24571,657,2016-05-10,2016-05-13,OR,42.0,0.0,44.0,13.0,2016-11-08
clout-research-r-24981,701,2016-07-09,2016-07-13,OR,43.0,9.0,40.0,8.0,2016-11-08
cnn-24021,854,2016-03-02,2016-03-06,FL,50.0,3.5,43.0,1.0,2016-11-08
cnn-24022,884,2016-03-02,2016-03-06,OH,50.0,3.0,43.0,0.0,2016-11-08
cnn-25252,809,2016-08-18,2016-08-23,AZ,41.0,14.6,47.0,0.0,2016-11-08
cnn-25253,803,2016-08-18,2016-08-23,NC,46.5,10.5,46.0,0.5,2016-11-08
cnn-25493,788,2016-09-07,2016-09-12,FL,45.0,6.8,48.5,0.5,2016-11-08
cnn-25494,769,2016-09-07,2016-09-12,OH,43.5,9.4,48.0,0.5,2016-11-08
cnn-25651,784,2016-09-20,2016-09-25,CO,45.0,16.0,44.5,0.0,2016-11-08
cnn-25652,771,2016-09-20,2016-09-25,PA,47.5,9.0,45.5,0.333333333333,2016-11-08
cnn-26202,788,2016-10-10,2016-10-15,NC,49.0,4.75,47.5,0.0,2016-11-08
cnn-26203,698,2016-10-10,2016-10-15,NV,48.0,8.25,45.0,0.0,2016-11-08
cnn-26204,774,2016-10-10,2016-10-15,OH,45.5,5.4,49.0,0.0,2016-11-08
cnn-26620,769,2016-10-27,2016-11-01,AZ,45.0,5.6,50.0,0.0,2016-11-08
cnn-26621,790,2016-10-27,2016-11-01,NV,44.0,6.5,50.0,0.5,2016-11-08
cnn-26622,773,2016-10-27,2016-11-01,FL,49.5,3.6,48.0,0.0,2016-11-08
cnn-26624,799,2016-10-27,2016-11-01,PA,49.5,5.25,45.0,0.333333333333,2016-11-08
cnn-unh-wmur-22807,743,2015-09-17,2015-09-23,NH,50.0,3.0,42.0,5.0,2016-11-08
cnn-unh-wmur-23538,885,2016-01-13,2016-01-18,NH,48.0,10.0,39.0,3.0,2016-11-08
columbus-dispatch-26756,1151,2016-10-27,2016-11-05,OH,48.0,4.0,47.0,0.0,2016-11-08
craciun-research-d-26551,400,2016-10-21,2016-10-26,AK,47.0,10.0,43.0,0.0,2016-11-08
cygnal-runswitch-pr-26594,811,2016-10-26,2016-10-28,KY,32.0,7.0,56.0,5.0,2016-11-08
dan-jones-associates-deseret-news-ksl-24602,500,2016-03-08,2016-03-15,UT,38.0,0.0,36.0,12.0,2016-11-08
dan-jones-associates-idahopoliticsweekly-com-24927,601,2016-07-05,2016-07-16,ID,23.0,13.5,44.0,7.0,2016-11-08
dan-jones-associates-utahpolicy-com-22646,500,2015-08-07,2015-08-14,UT,29.0,29.0,38.0,3.0,2016-11-08
dan-jones-associates-utahpolicy-com-23503,622,2015-12-08,2015-12-14,UT,28.0,33.0,33.0,6.0,2016-11-08
dan-jones-associates-utahpolicy-com-24297,600,2016-03-23,2016-04-05,UT,38.0,0.0,38.0,25.0,2016-11-08
dan-jones-associates-utahpolicy-com-24491,588,2016-05-02,2016-05-10,UT,30.0,0.0,43.0,26.0,2016-11-08
dan-jones-associates-utahpolicy-com-24725,614,2016-06-08,2016-06-17,UT,27.0,20.0,36.0,8.0,2016-11-08
dan-jones-associates-utahpolicy-com-25086,858,2016-07-18,2016-08-04,UT,25.0,23.5,37.0,7.0,2016-11-08
dan-jones-salt-lake-tribune-hinckley-institute-26554,823,2016-10-20,2016-10-27,UT,24.0,35.0,32.0,8.0,2016-11-08
dartmouth-24458,362,2016-04-11,2016-04-16,NH,34.0,0.0,29.0,37.0,2016-11-08
data-orbital-r-25721,550,2016-09-20,2016-09-22,AZ,38.0,9.0,40.0,7.0,2016-11-08
data-orbital-r-26205,550,2016-10-11,2016-10-12,AZ,43.0,5.0,42.0,5.0,2016-11-08
data-orbital-r-26340,550,2016-10-17,2016-10-18,AZ,41.0,6.5,41.0,5.0,2016-11-08
data-orbital-r-26536,550,2016-10-26,2016-10-27,AZ,40.0,7.0,42.0,5.0,2016-11-08
data-orbital-r-26599,550,2016-10-29,2016-10-30,AZ,41.0,4.5,45.0,4.0,2016-11-08
data-orbital-r-26711,550,2016-11-01,2016-11-02,AZ,39.0,6.0,47.0,3.5,2016-11-08
data-orbital-r-26792,550,2016-11-04,2016-11-06,AZ,44.0,6.0,47.0,1.0,2016-11-08
des-moines-register-mediacom-selzer-26007,642,2016-10-03,2016-10-06,IA,39.0,8.0,43.0,3.5,2016-11-08
des-moines-register-mediacom-selzer-26746,800,2016-11-01,2016-11-04,IA,39.0,7.5,46.0,3.0,2016-11-08
dfm-research-d-25590,400,2016-09-12,2016-09-17,ND,32.0,4.5,43.0,16.0,2016-11-08
dfm-research-d-greene-25602,402,2016-09-06,2016-09-11,WY,19.0,6.0,54.0,15.0,2016-11-08
dfm-research-d-smart-26637,508,2016-10-27,2016-11-01,MO,38.0,2.0,47.0,11.0,2016-11-08
dfm-research-d-united-transportation-union-24188,674,2016-03-17,2016-03-24,MO,42.0,8.0,40.0,11.0,2016-11-08
dhm-25426,517,2016-09-01,2016-09-06,OR,38.0,15.5,25.0,8.5,2016-11-08
dhm-research-fox-12-26634,504,2016-10-25,2016-10-29,OR,41.0,9.0,34.0,11.0,2016-11-08
dhm-research-oregon-public-broadcasting-26258,600,2016-10-06,2016-10-13,OR,43.0,11.0,36.0,3.5,2016-11-08
dhm-research-oregon-public-broadcasting-fox-12-24481,901,2016-05-06,2016-05-09,OR,43.0,11.0,32.0,7.5,2016-11-08
dixie-strategies-r-26654,698,2016-10-25,2016-10-26,FL,42.0,3.0,46.0,6.0,2016-11-08
dixie-strategies-r-ktvt-cbs-11-25185,1018,2016-08-08,2016-08-09,TX,36.0,9.0,46.0,9.0,2016-11-08
dixie-strategies-r-ktvt-cbs-11-26652,980,2016-10-27,2016-10-29,TX,39.0,4.0,52.0,4.0,2016-11-08
dixie-strategies-r-ktvt-cbs-11-26653,780,2016-09-29,2016-10-01,TX,38.0,5.5,45.0,10.0,2016-11-08
elon-22796,1075,2015-09-17,2015-09-21,NC,47.0,10.0,40.0,3.0,2016-11-08
elon-23075,1040,2015-10-29,2015-11-02,NC,50.0,8.0,40.0,3.0,2016-11-08
elon-23831,1530,2016-02-15,2016-02-19,NC,47.0,9.0,41.0,4.0,2016-11-08
elon-24309,621,2016-04-10,2016-04-15,NC,45.0,14.0,39.0,3.0,2016-11-08
elon-25579,644,2016-09-12,2016-09-16,NC,43.0,6.5,44.0,3.0,2016-11-08
elon-25950,660,2016-09-27,2016-09-30,NC,45.0,9.5,39.0,3.0,2016-11-08
elon-26597,710,2016-10-23,2016-10-27,NC,42.0,4.0,41.0,6.0,2016-11-08
elway-25176,500,2016-08-09,2016-08-13,WA,43.0,5.5,24.0,11.0,2016-11-08
emerson-college-polling-society-24106,768,2016-03-14,2016-03-16,NY,55.0,0.0,36.0,10.0,2016-11-08
emerson-college-polling-society-24195,1198,2016-03-30,2016-04-03,WI,47.0,0.0,37.0,17.0,2016-11-08
emerson-college-polling-society-24235,864,2016-04-06,2016-04-07,NY,54.0,0.0,36.0,10.0,2016-11-08
emerson-college-polling-society-24256,1043,2016-04-10,2016-04-11,CT,48.0,0.0,40.0,12.0,2016-11-08
emerson-college-polling-society-24294,1047,2016-04-15,2016-04-17,NY,55.0,0.0,36.0,9.0,2016-11-08
epic-mra-detroit-free-press-wxyz-tv-22605,600,2015-08-18,2015-08-22,MI,44.0,0.0,42.0,14.0,2016-11-08
epic-mra-detroit-free-press-wxyz-tv-23078,600,2015-10-25,2015-10-31,MI,46.0,0.0,38.0,16.0,2016-11-08
epic-mra-detroit-free-press-wxyz-tv-24238,600,2016-03-19,2016-03-22,MI,47.0,0.0,37.0,16.0,2016-11-08
epic-mra-detroit-free-press-wxyz-tv-25074,600,2016-07-30,2016-08-04,MI,44.5,6.0,34.0,15.5,2016-11-08
epic-mra-detroit-free-press-wxyz-tv-25508,600,2016-09-10,2016-09-13,MI,40.0,8.5,36.5,15.0,2016-11-08
epic-mra-detroit-free-press-wxyz-tv-25984,600,2016-10-01,2016-10-03,MI,44.5,7.5,34.0,14.0,2016-11-08
epic-mra-detroit-free-press-wxyz-tv-26500,600,2016-10-22,2016-10-24,MI,43.0,7.5,35.5,14.0,2016-11-08
fairleigh-dickinson-24548,702,2016-05-18,2016-05-22,NJ,48.0,7.0,37.0,4.0,2016-11-08
fairleigh-dickinson-24942,349,2016-06-22,2016-06-26,NJ,44.0,7.5,32.0,4.5,2016-11-08
fairleigh-dickinson-24942,363,2016-06-22,2016-06-26,NJ,52.0,5.0,31.0,5.5,2016-11-08
fairleigh-dickinson-26230,293,2016-10-12,2016-10-16,NJ,49.0,4.0,35.0,2.5,2016-11-08
fairleigh-dickinson-26230,579,2016-10-12,2016-10-16,NJ,51.0,4.0,40.0,2.5,2016-11-08
fairleigh-dickinson-delaware-news-journal-24987,715,2016-07-20,2016-07-24,DE,42.0,7.0,32.0,6.0,2016-11-08
feldman-d-south-carolina-democratic-party-25249,600,2016-08-18,2016-08-21,SC,41.0,3.0,42.0,14.0,2016-11-08
field-24222,1400,2016-03-24,2016-04-04,CA,59.0,0.0,31.0,10.0,2016-11-08
field-24594,1002,2016-05-26,2016-05-31,CA,53.0,0.0,34.0,13.0,2016-11-08
field-24831,956,2016-06-08,2016-07-02,CA,54.0,10.0,27.0,14.0,2016-11-08
field-uc-berkeley-yougov-25577,1426,2016-09-07,2016-09-13,CA,50.0,5.5,33.0,6.0,2016-11-08
field-uc-berkeley-yougov-26655,1498,2016-10-25,2016-10-31,CA,53.0,3.5,33.0,7.0,2016-11-08
florida-atlantic-university-23188,829,2015-11-15,2015-11-16,FL,41.0,0.0,49.0,10.0,2016-11-08
florida-atlantic-university-23190,801,2015-09-17,2015-09-20,FL,45.0,0.0,46.0,10.0,2016-11-08
florida-atlantic-university-23532,1008,2016-01-15,2016-01-18,FL,44.0,0.0,47.0,9.0,2016-11-08
florida-atlantic-university-26157,500,2016-10-05,2016-10-09,FL,49.0,1.0,43.0,7.0,2016-11-08
florida-southern-college-center-23730,608,2016-01-30,2016-02-06,FL,45.0,3.0,38.0,7.25,2016-11-08
fort-hays-state-university-23980,440,2016-02-19,2016-02-26,KS,36.0,0.0,46.0,18.0,2016-11-08
fort-hays-state-university-24056,475,2016-03-03,2016-03-10,MO,38.0,0.0,43.0,19.0,2016-11-08
fort-hays-state-university-26709,892,2016-09-01,2016-10-13,KS,39.0,4.66666666667,47.0,0.0,2016-11-08
fort-hays-state-university-26729,313,2016-11-01,2016-11-03,KS,34.0,4.5,58.0,0.0,2016-11-08
fort-hays-state-university-kansas-newspapers-24976,542,2016-07-11,2016-07-21,KS,27.0,6.5,44.0,16.0,2016-11-08
fox-23176,804,2015-11-15,2015-11-17,NH,47.0,2.0,40.0,5.0,2016-11-08
fox-24881,601,2016-07-09,2016-07-12,VA,41.5,14.0,35.5,6.25,2016-11-08
fox-24882,600,2016-07-09,2016-07-12,CO,40.5,20.0,31.0,6.0,2016-11-08
fox-news-24182,1602,2016-03-28,2016-03-30,WI,49.0,6.0,35.0,5.0,2016-11-08
fox-news-24239,1403,2016-04-04,2016-04-07,NY,53.0,2.0,37.0,4.0,2016-11-08
fox-news-24240,1607,2016-04-04,2016-04-07,PA,44.0,2.0,44.0,4.5,2016-11-08
fox-news-24902,601,2016-07-09,2016-07-12,VA,44.0,6.0,37.0,6.5,2016-11-08
fox-news-25608,734,2016-09-18,2016-09-20,NC,41.0,7.0,46.0,4.5,2016-11-08
fox-news-25609,737,2016-09-18,2016-09-20,OH,38.5,7.66666666667,43.5,6.0,2016-11-08
fox-news-25610,704,2016-09-18,2016-09-20,NV,41.0,10.75,44.5,1.75,2016-11-08
franklin-and-marshall-college-24143,828,2016-03-14,2016-03-20,PA,46.0,11.0,33.0,10.0,2016-11-08
franklin-and-marshall-college-25058,389,2016-07-29,2016-08-01,PA,49.0,6.0,38.0,8.0,2016-11-08
franklin-and-marshall-college-25058,661,2016-07-29,2016-08-01,PA,47.0,10.0,34.0,10.0,2016-11-08
franklin-and-marshall-college-25308,496,2016-08-25,2016-08-29,PA,47.0,6.0,40.0,7.0,2016-11-08
franklin-and-marshall-college-25308,736,2016-08-25,2016-08-29,PA,41.0,9.0,38.0,13.0,2016-11-08
franklin-and-marshall-college-25896,496,2016-09-28,2016-10-02,PA,47.0,5.0,38.0,9.0,2016-11-08
franklin-and-marshall-college-25896,813,2016-09-28,2016-10-02,PA,48.0,9.0,36.0,7.0,2016-11-08
franklin-and-marshall-college-26588,652,2016-10-26,2016-10-30,PA,49.0,6.0,38.0,7.0,2016-11-08
franklin-and-marshall-college-colorado-mesa-university-25616,350,2016-09-14,2016-09-18,CO,42.5,20.5,34.5,8.5,2016-11-08
franklin-pierce-rkm-boston-herald-24570,405,2016-05-25,2016-05-28,NH,44.0,0.0,44.0,12.0,2016-11-08
garin-hart-yang-d-reynolds-25975,500,2016-09-13,2016-09-17,WV,28.0,0.0,60.0,12.0,2016-11-08
gba-strategies-d-end-citizens-united-25820,600,2016-09-25,2016-09-27,NH,44.5,13.5,38.5,4.25,2016-11-08
glengariff-detroit-news-wdiv-24588,600,2016-05-24,2016-05-26,MI,40.0,6.0,36.0,8.0,2016-11-08
glengariff-detroit-news-wdiv-25056,600,2016-07-30,2016-08-01,MI,41.0,10.0,32.0,7.5,2016-11-08
glengariff-detroit-news-wdiv-25813,600,2016-09-27,2016-09-28,MI,44.0,11.6666666667,37.0,5.25,2016-11-08
glengariff-detroit-news-wdiv-26197,600,2016-10-10,2016-10-11,MI,44.5,13.6666666667,32.0,6.5,2016-11-08
goucher-college-sarah-t-hughes-field-politics-center-25625,514,2016-09-17,2016-09-20,MD,58.0,4.0,25.0,4.5,2016-11-08
gqr-d-democracy-corps-women-s-voices-women-vote-24841,300,2016-06-11,2016-06-20,AZ,41.0,14.5,46.5,3.5,2016-11-08
gqr-d-democracy-corps-women-s-voices-women-vote-24842,300,2016-06-11,2016-06-20,FL,50.5,13.0,38.5,2.5,2016-11-08
gqr-d-democracy-corps-women-s-voices-women-vote-24843,300,2016-06-11,2016-06-20,MI,49.0,16.5,36.0,4.0,2016-11-08
gqr-d-democracy-corps-women-s-voices-women-vote-24844,300,2016-06-11,2016-06-20,NC,49.5,13.0,39.5,3.5,2016-11-08
gqr-d-democracy-corps-women-s-voices-women-vote-24845,300,2016-06-11,2016-06-20,NH,42.5,17.0,42.0,3.5,2016-11-08
gqr-d-democracy-corps-women-s-voices-women-vote-24846,300,2016-06-11,2016-06-20,NV,44.5,11.5,45.5,3.5,2016-11-08
gqr-d-democracy-corps-women-s-voices-women-vote-24847,300,2016-06-11,2016-06-20,OH,44.0,16.0,44.5,3.0,2016-11-08
gqr-d-democracy-corps-women-s-voices-women-vote-24848,300,2016-06-11,2016-06-20,PA,47.0,21.5,35.5,5.0,2016-11-08
gqr-d-democracy-corps-women-s-voices-women-vote-24849,300,2016-06-11,2016-06-20,WI,45.5,21.0,34.0,7.5,2016-11-08
gqr-d-democracy-corps-wvwv-25637,400,2016-09-10,2016-09-19,NC,44.0,12.0,40.0,1.5,2016-11-08
gqr-d-democracy-corps-wvwv-25638,400,2016-09-10,2016-09-19,NV,42.0,10.0,42.0,2.0,2016-11-08
gqr-d-democracy-corps-wvwv-25639,400,2016-09-10,2016-09-19,OH,39.0,15.0,41.0,2.0,2016-11-08
gqr-d-democracy-corps-wvwv-25640,400,2016-09-10,2016-09-19,PA,46.0,11.0,38.0,2.0,2016-11-08
gqr-d-project-new-america-24897,1100,2016-07-06,2016-07-10,FL,45.0,8.0,40.0,7.0,2016-11-08
gqr-save-the-children-action-network-26155,500,2016-09-29,2016-10-02,NH,46.0,10.0,38.0,6.0,2016-11-08
gravis-marketing-24554,2542,2016-05-17,2016-05-18,FL,46.0,0.0,42.0,12.0,2016-11-08
gravis-marketing-24563,1728,2016-05-24,2016-05-24,VA,44.5,19.0,39.5,0.0,2016-11-08
gravis-marketing-24624,1519,2016-05-31,2016-06-01,UT,27.5,48.0,32.5,0.0,2016-11-08
gravis-marketing-24885,1318,2016-07-07,2016-07-08,IA,40.5,19.3333333333,38.5,0.0,2016-11-08
gravis-marketing-24886,1562,2016-07-07,2016-07-08,MI,42.5,14.6666666667,37.5,0.0,2016-11-08
gravis-marketing-24887,1313,2016-07-07,2016-07-08,CO,41.0,19.0,39.5,0.0,2016-11-08
gravis-marketing-24933,1637,2016-05-24,2016-05-25,NV,41.5,17.5,45.5,0.0,2016-11-08
gravis-marketing-25132,2046,2016-08-04,2016-08-08,ME,44.5,20.3333333333,34.5,0.0,2016-11-08
gravis-marketing-25133,1717,2016-08-04,2016-08-08,NY,50.5,7.0,35.0,0.0,2016-11-08
gravis-marketing-25134,1604,2016-08-04,2016-08-08,GA,41.5,15.0,44.0,0.0,2016-11-08
gravis-marketing-25221,723,2016-08-15,2016-08-17,NC,41.0,12.0,41.0,11.5,2016-11-08
gravis-marketing-25222,768,2016-08-15,2016-08-17,SC,39.5,5.0,43.5,11.5,2016-11-08
gravis-marketing-26433,596,2016-10-22,2016-10-24,IN,38.0,5.0,49.0,8.0,2016-11-08
gravis-marketing-26719,399,2016-10-30,2016-11-01,IN,39.0,5.0,49.0,9.0,2016-11-08
gravis-marketing-breitbart-26008,1246,2016-10-03,2016-10-04,CO,40.0,13.0,40.0,6.0,2016-11-08
gravis-marketing-breitbart-26009,1248,2016-10-04,2016-10-04,OR,47.0,6.0,39.0,8.0,2016-11-08
gravis-marketing-breitbart-26186,1226,2016-10-12,2016-10-13,CO,44.0,8.0,39.0,9.0,2016-11-08
gravis-marketing-breitbart-26192,1799,2016-10-11,2016-10-13,FL,46.0,3.0,42.0,10.0,2016-11-08
gravis-marketing-breitbart-26708,1001,2016-11-01,2016-11-02,NH,41.0,9.5,43.0,3.0,2016-11-08
gravis-marketing-breitbart-26736,1016,2016-11-01,2016-11-02,PA,47.0,4.0,45.0,3.0,2016-11-08
gravis-marketing-breitbart-26737,1125,2016-11-01,2016-11-02,CO,40.0,12.0,40.0,3.0,2016-11-08
gravis-marketing-oann-24867,1619,2016-06-27,2016-06-28,FL,45.0,6.0,49.0,0.0,2016-11-08
